Year,Year ending,Local Government Area,Offence Division,Offence Subdivision,Alleged Offender Incidents
2022,December,Alpine,A Crimes against the person,A20 Assault and related offences,47
2022,December,Alpine,A Crimes against the person,A30 Sexual offences,5
2022,December,Alpine,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
2022,December,Alpine,B Property and deception offences,B20 Property damage,17
2022,December,Alpine,B Property and deception offences,B30 Burglary/Break and enter,5
2022,December,Alpine,B Property and deception offences,B40 Theft,15
2022,December,Alpine,C Drug offences,C30 Drug use and possession,7
2022,December,Alpine,D Public order and security offences,D20 Disorderly and offensive conduct,12
2022,December,Alpine,E Justice procedures offences,E20 Breaches of orders,39
2022,December,Alpine,F Other offences,F90 Miscellaneous offences,7
2022,December,Ararat,A Crimes against the person,A20 Assault and related offences,116
2022,December,Ararat,A Crimes against the person,A30 Sexual offences,10
2022,December,Ararat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",16
2022,December,Ararat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,14
2022,December,Ararat,B Property and deception offences,B10 Arson,7
2022,December,Ararat,B Property and deception offences,B20 Property damage,46
2022,December,Ararat,B Property and deception offences,B30 Burglary/Break and enter,20
2022,December,Ararat,B Property and deception offences,B40 Theft,69
2022,December,Ararat,B Property and deception offences,B50 Deception,17
2022,December,Ararat,C Drug offences,C10 Drug dealing and trafficking,10
2022,December,Ararat,C Drug offences,C20 Cultivate or manufacture drugs,4
2022,December,Ararat,C Drug offences,C30 Drug use and possession,45
2022,December,Ararat,D Public order and security offences,D10 Weapons and explosives offences,25
2022,December,Ararat,D Public order and security offences,D20 Disorderly and offensive conduct,19
2022,December,Ararat,D Public order and security offences,D30 Public nuisance offences,7
2022,December,Ararat,E Justice procedures offences,E10 Justice procedures,18
2022,December,Ararat,E Justice procedures offences,E20 Breaches of orders,84
2022,December,Ararat,F Other offences,F90 Miscellaneous offences,5
2022,December,Ballarat,A Crimes against the person,A20 Assault and related offences,622
2022,December,Ballarat,A Crimes against the person,A30 Sexual offences,116
2022,December,Ballarat,A Crimes against the person,A40 Abduction and related offences,4
2022,December,Ballarat,A Crimes against the person,A50 Robbery,23
2022,December,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",73
2022,December,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,79
2022,December,Ballarat,B Property and deception offences,B10 Arson,23
2022,December,Ballarat,B Property and deception offences,B20 Property damage,242
2022,December,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,199
2022,December,Ballarat,B Property and deception offences,B40 Theft,775
2022,December,Ballarat,B Property and deception offences,B50 Deception,133
2022,December,Ballarat,C Drug offences,C10 Drug dealing and trafficking,42
2022,December,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,14
2022,December,Ballarat,C Drug offences,C30 Drug use and possession,107
2022,December,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,176
2022,December,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,81
2022,December,Ballarat,D Public order and security offences,D30 Public nuisance offences,12
2022,December,Ballarat,E Justice procedures offences,E10 Justice procedures,59
2022,December,Ballarat,E Justice procedures offences,E20 Breaches of orders,632
2022,December,Ballarat,F Other offences,F90 Miscellaneous offences,6
2022,December,Banyule,A Crimes against the person,A10 Homicide and related offences,6
2022,December,Banyule,A Crimes against the person,A20 Assault and related offences,473
2022,December,Banyule,A Crimes against the person,A30 Sexual offences,48
2022,December,Banyule,A Crimes against the person,A40 Abduction and related offences,7
2022,December,Banyule,A Crimes against the person,A50 Robbery,25
2022,December,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",108
2022,December,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,45
2022,December,Banyule,B Property and deception offences,B10 Arson,13
2022,December,Banyule,B Property and deception offences,B20 Property damage,144
2022,December,Banyule,B Property and deception offences,B30 Burglary/Break and enter,99
2022,December,Banyule,B Property and deception offences,B40 Theft,412
2022,December,Banyule,B Property and deception offences,B50 Deception,117
2022,December,Banyule,C Drug offences,C10 Drug dealing and trafficking,44
2022,December,Banyule,C Drug offences,C20 Cultivate or manufacture drugs,19
2022,December,Banyule,C Drug offences,C30 Drug use and possession,173
2022,December,Banyule,D Public order and security offences,D10 Weapons and explosives offences,116
2022,December,Banyule,D Public order and security offences,D20 Disorderly and offensive conduct,35
2022,December,Banyule,D Public order and security offences,D30 Public nuisance offences,22
2022,December,Banyule,E Justice procedures offences,E10 Justice procedures,51
2022,December,Banyule,E Justice procedures offences,E20 Breaches of orders,796
2022,December,Banyule,F Other offences,F90 Miscellaneous offences,20
2022,December,Bass Coast,A Crimes against the person,A20 Assault and related offences,333
2022,December,Bass Coast,A Crimes against the person,A30 Sexual offences,41
2022,December,Bass Coast,A Crimes against the person,A50 Robbery,4
2022,December,Bass Coast,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",81
2022,December,Bass Coast,A Crimes against the person,A80 Dangerous and negligent acts endangering people,27
2022,December,Bass Coast,B Property and deception offences,B10 Arson,10
2022,December,Bass Coast,B Property and deception offences,B20 Property damage,99
2022,December,Bass Coast,B Property and deception offences,B30 Burglary/Break and enter,63
2022,December,Bass Coast,B Property and deception offences,B40 Theft,144
2022,December,Bass Coast,B Property and deception offences,B50 Deception,23
2022,December,Bass Coast,C Drug offences,C10 Drug dealing and trafficking,5
2022,December,Bass Coast,C Drug offences,C20 Cultivate or manufacture drugs,8
2022,December,Bass Coast,C Drug offences,C30 Drug use and possession,27
2022,December,Bass Coast,D Public order and security offences,D10 Weapons and explosives offences,29
2022,December,Bass Coast,D Public order and security offences,D20 Disorderly and offensive conduct,40
2022,December,Bass Coast,D Public order and security offences,D30 Public nuisance offences,11
2022,December,Bass Coast,E Justice procedures offences,E10 Justice procedures,16
2022,December,Bass Coast,E Justice procedures offences,E20 Breaches of orders,185
2022,December,Baw Baw,A Crimes against the person,A20 Assault and related offences,397
2022,December,Baw Baw,A Crimes against the person,A30 Sexual offences,53
2022,December,Baw Baw,A Crimes against the person,A50 Robbery,22
2022,December,Baw Baw,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",61
2022,December,Baw Baw,A Crimes against the person,A80 Dangerous and negligent acts endangering people,40
2022,December,Baw Baw,B Property and deception offences,B10 Arson,21
2022,December,Baw Baw,B Property and deception offences,B20 Property damage,98
2022,December,Baw Baw,B Property and deception offences,B30 Burglary/Break and enter,55
2022,December,Baw Baw,B Property and deception offences,B40 Theft,230
2022,December,Baw Baw,B Property and deception offences,B50 Deception,61
2022,December,Baw Baw,C Drug offences,C10 Drug dealing and trafficking,17
2022,December,Baw Baw,C Drug offences,C20 Cultivate or manufacture drugs,26
2022,December,Baw Baw,C Drug offences,C30 Drug use and possession,114
2022,December,Baw Baw,D Public order and security offences,D10 Weapons and explosives offences,98
2022,December,Baw Baw,D Public order and security offences,D20 Disorderly and offensive conduct,27
2022,December,Baw Baw,D Public order and security offences,D30 Public nuisance offences,20
2022,December,Baw Baw,E Justice procedures offences,E10 Justice procedures,42
2022,December,Baw Baw,E Justice procedures offences,E20 Breaches of orders,255
2022,December,Baw Baw,F Other offences,F90 Miscellaneous offences,5
2022,December,Bayside,A Crimes against the person,A20 Assault and related offences,235
2022,December,Bayside,A Crimes against the person,A30 Sexual offences,34
2022,December,Bayside,A Crimes against the person,A50 Robbery,11
2022,December,Bayside,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",54
2022,December,Bayside,A Crimes against the person,A80 Dangerous and negligent acts endangering people,23
2022,December,Bayside,B Property and deception offences,B10 Arson,4
2022,December,Bayside,B Property and deception offences,B20 Property damage,78
2022,December,Bayside,B Property and deception offences,B30 Burglary/Break and enter,169
2022,December,Bayside,B Property and deception offences,B40 Theft,294
2022,December,Bayside,B Property and deception offences,B50 Deception,80
2022,December,Bayside,C Drug offences,C10 Drug dealing and trafficking,13
2022,December,Bayside,C Drug offences,C20 Cultivate or manufacture drugs,11
2022,December,Bayside,C Drug offences,C30 Drug use and possession,51
2022,December,Bayside,D Public order and security offences,D10 Weapons and explosives offences,31
2022,December,Bayside,D Public order and security offences,D20 Disorderly and offensive conduct,30
2022,December,Bayside,D Public order and security offences,D30 Public nuisance offences,23
2022,December,Bayside,E Justice procedures offences,E10 Justice procedures,9
2022,December,Bayside,E Justice procedures offences,E20 Breaches of orders,206
2022,December,Bayside,F Other offences,F90 Miscellaneous offences,13
2022,December,Benalla,A Crimes against the person,A20 Assault and related offences,126
2022,December,Benalla,A Crimes against the person,A30 Sexual offences,19
2022,December,Benalla,A Crimes against the person,A50 Robbery,4
2022,December,Benalla,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",17
2022,December,Benalla,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19
2022,December,Benalla,B Property and deception offences,B20 Property damage,46
2022,December,Benalla,B Property and deception offences,B30 Burglary/Break and enter,15
2022,December,Benalla,B Property and deception offences,B40 Theft,51
2022,December,Benalla,B Property and deception offences,B50 Deception,21
2022,December,Benalla,C Drug offences,C10 Drug dealing and trafficking,8
2022,December,Benalla,C Drug offences,C30 Drug use and possession,21
2022,December,Benalla,D Public order and security offences,D10 Weapons and explosives offences,37
2022,December,Benalla,D Public order and security offences,D20 Disorderly and offensive conduct,10
2022,December,Benalla,D Public order and security offences,D30 Public nuisance offences,12
2022,December,Benalla,E Justice procedures offences,E10 Justice procedures,20
2022,December,Benalla,E Justice procedures offences,E20 Breaches of orders,127
2022,December,Boroondara,A Crimes against the person,A20 Assault and related offences,314
2022,December,Boroondara,A Crimes against the person,A30 Sexual offences,43
2022,December,Boroondara,A Crimes against the person,A50 Robbery,18
2022,December,Boroondara,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",67
2022,December,Boroondara,A Crimes against the person,A80 Dangerous and negligent acts endangering people,18
2022,December,Boroondara,B Property and deception offences,B10 Arson,23
2022,December,Boroondara,B Property and deception offences,B20 Property damage,121
2022,December,Boroondara,B Property and deception offences,B30 Burglary/Break and enter,245
2022,December,Boroondara,B Property and deception offences,B40 Theft,522
2022,December,Boroondara,B Property and deception offences,B50 Deception,88
2022,December,Boroondara,C Drug offences,C10 Drug dealing and trafficking,17
2022,December,Boroondara,C Drug offences,C20 Cultivate or manufacture drugs,8
2022,December,Boroondara,C Drug offences,C30 Drug use and possession,64
2022,December,Boroondara,D Public order and security offences,D10 Weapons and explosives offences,43
2022,December,Boroondara,D Public order and security offences,D20 Disorderly and offensive conduct,23
2022,December,Boroondara,D Public order and security offences,D30 Public nuisance offences,9
2022,December,Boroondara,E Justice procedures offences,E10 Justice procedures,19
2022,December,Boroondara,E Justice procedures offences,E20 Breaches of orders,166
2022,December,Brimbank,A Crimes against the person,A10 Homicide and related offences,14
2022,December,Brimbank,A Crimes against the person,A20 Assault and related offences,"1,147"
2022,December,Brimbank,A Crimes against the person,A30 Sexual offences,111
2022,December,Brimbank,A Crimes against the person,A40 Abduction and related offences,11
2022,December,Brimbank,A Crimes against the person,A50 Robbery,99
2022,December,Brimbank,A Crimes against the person,A60 Blackmail and extortion,5
2022,December,Brimbank,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",235
2022,December,Brimbank,A Crimes against the person,A80 Dangerous and negligent acts endangering people,101
2022,December,Brimbank,B Property and deception offences,B10 Arson,14
2022,December,Brimbank,B Property and deception offences,B20 Property damage,312
2022,December,Brimbank,B Property and deception offences,B30 Burglary/Break and enter,237
2022,December,Brimbank,B Property and deception offences,B40 Theft,888
2022,December,Brimbank,B Property and deception offences,B50 Deception,185
2022,December,Brimbank,C Drug offences,C10 Drug dealing and trafficking,139
2022,December,Brimbank,C Drug offences,C20 Cultivate or manufacture drugs,52
2022,December,Brimbank,C Drug offences,C30 Drug use and possession,300
2022,December,Brimbank,D Public order and security offences,D10 Weapons and explosives offences,265
2022,December,Brimbank,D Public order and security offences,D20 Disorderly and offensive conduct,123
2022,December,Brimbank,D Public order and security offences,D30 Public nuisance offences,31
2022,December,Brimbank,E Justice procedures offences,E10 Justice procedures,65
2022,December,Brimbank,E Justice procedures offences,E20 Breaches of orders,"1,061"
2022,December,Brimbank,F Other offences,F30 Other government regulatory offences,4
2022,December,Brimbank,F Other offences,F90 Miscellaneous offences,21
2022,December,Buloke,A Crimes against the person,A20 Assault and related offences,27
2022,December,Buloke,A Crimes against the person,A30 Sexual offences,9
2022,December,Buloke,B Property and deception offences,B20 Property damage,7
2022,December,Buloke,B Property and deception offences,B30 Burglary/Break and enter,4
2022,December,Buloke,B Property and deception offences,B40 Theft,12
2022,December,Buloke,C Drug offences,C30 Drug use and possession,41
2022,December,Buloke,D Public order and security offences,D10 Weapons and explosives offences,5
2022,December,Buloke,D Public order and security offences,D20 Disorderly and offensive conduct,5
2022,December,Buloke,E Justice procedures offences,E20 Breaches of orders,15
2022,December,Campaspe,A Crimes against the person,A20 Assault and related offences,251
2022,December,Campaspe,A Crimes against the person,A30 Sexual offences,29
2022,December,Campaspe,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",30
2022,December,Campaspe,A Crimes against the person,A80 Dangerous and negligent acts endangering people,37
2022,December,Campaspe,B Property and deception offences,B10 Arson,6
2022,December,Campaspe,B Property and deception offences,B20 Property damage,91
2022,December,Campaspe,B Property and deception offences,B30 Burglary/Break and enter,63
2022,December,Campaspe,B Property and deception offences,B40 Theft,153
2022,December,Campaspe,B Property and deception offences,B50 Deception,30
2022,December,Campaspe,C Drug offences,C20 Cultivate or manufacture drugs,11
2022,December,Campaspe,C Drug offences,C30 Drug use and possession,39
2022,December,Campaspe,D Public order and security offences,D10 Weapons and explosives offences,42
2022,December,Campaspe,D Public order and security offences,D20 Disorderly and offensive conduct,30
2022,December,Campaspe,D Public order and security offences,D30 Public nuisance offences,7
2022,December,Campaspe,E Justice procedures offences,E10 Justice procedures,40
2022,December,Campaspe,E Justice procedures offences,E20 Breaches of orders,325
2022,December,Campaspe,F Other offences,F90 Miscellaneous offences,21
2022,December,Cardinia,A Crimes against the person,A20 Assault and related offences,573
2022,December,Cardinia,A Crimes against the person,A30 Sexual offences,59
2022,December,Cardinia,A Crimes against the person,A40 Abduction and related offences,4
2022,December,Cardinia,A Crimes against the person,A50 Robbery,34
2022,December,Cardinia,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",119
2022,December,Cardinia,A Crimes against the person,A80 Dangerous and negligent acts endangering people,64
2022,December,Cardinia,B Property and deception offences,B10 Arson,17
2022,December,Cardinia,B Property and deception offences,B20 Property damage,159
2022,December,Cardinia,B Property and deception offences,B30 Burglary/Break and enter,151
2022,December,Cardinia,B Property and deception offences,B40 Theft,345
2022,December,Cardinia,B Property and deception offences,B50 Deception,106
2022,December,Cardinia,C Drug offences,C10 Drug dealing and trafficking,34
2022,December,Cardinia,C Drug offences,C20 Cultivate or manufacture drugs,20
2022,December,Cardinia,C Drug offences,C30 Drug use and possession,126
2022,December,Cardinia,D Public order and security offences,D10 Weapons and explosives offences,88
2022,December,Cardinia,D Public order and security offences,D20 Disorderly and offensive conduct,40
2022,December,Cardinia,D Public order and security offences,D30 Public nuisance offences,13
2022,December,Cardinia,E Justice procedures offences,E10 Justice procedures,36
2022,December,Cardinia,E Justice procedures offences,E20 Breaches of orders,349
2022,December,Cardinia,F Other offences,F90 Miscellaneous offences,8
2022,December,Casey,A Crimes against the person,A10 Homicide and related offences,6
2022,December,Casey,A Crimes against the person,A20 Assault and related offences,"1,938"
2022,December,Casey,A Crimes against the person,A30 Sexual offences,172
2022,December,Casey,A Crimes against the person,A40 Abduction and related offences,31
2022,December,Casey,A Crimes against the person,A50 Robbery,199
2022,December,Casey,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",445
2022,December,Casey,A Crimes against the person,A80 Dangerous and negligent acts endangering people,166
2022,December,Casey,B Property and deception offences,B10 Arson,23
2022,December,Casey,B Property and deception offences,B20 Property damage,500
2022,December,Casey,B Property and deception offences,B30 Burglary/Break and enter,399
2022,December,Casey,B Property and deception offences,B40 Theft,"1,152"
2022,December,Casey,B Property and deception offences,B50 Deception,258
2022,December,Casey,C Drug offences,C10 Drug dealing and trafficking,95
2022,December,Casey,C Drug offences,C20 Cultivate or manufacture drugs,91
2022,December,Casey,C Drug offences,C30 Drug use and possession,364
2022,December,Casey,D Public order and security offences,D10 Weapons and explosives offences,270
2022,December,Casey,D Public order and security offences,D20 Disorderly and offensive conduct,68
2022,December,Casey,D Public order and security offences,D30 Public nuisance offences,37
2022,December,Casey,E Justice procedures offences,E10 Justice procedures,93
2022,December,Casey,E Justice procedures offences,E20 Breaches of orders,"1,171"
2022,December,Casey,F Other offences,F90 Miscellaneous offences,12
2022,December,Central Goldfields,A Crimes against the person,A20 Assault and related offences,110
2022,December,Central Goldfields,A Crimes against the person,A30 Sexual offences,25
2022,December,Central Goldfields,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",17
2022,December,Central Goldfields,A Crimes against the person,A80 Dangerous and negligent acts endangering people,10
2022,December,Central Goldfields,B Property and deception offences,B10 Arson,8
2022,December,Central Goldfields,B Property and deception offences,B20 Property damage,22
2022,December,Central Goldfields,B Property and deception offences,B30 Burglary/Break and enter,13
2022,December,Central Goldfields,B Property and deception offences,B40 Theft,44
2022,December,Central Goldfields,B Property and deception offences,B50 Deception,13
2022,December,Central Goldfields,C Drug offences,C10 Drug dealing and trafficking,8
2022,December,Central Goldfields,C Drug offences,C20 Cultivate or manufacture drugs,5
2022,December,Central Goldfields,C Drug offences,C30 Drug use and possession,22
2022,December,Central Goldfields,D Public order and security offences,D10 Weapons and explosives offences,21
2022,December,Central Goldfields,D Public order and security offences,D20 Disorderly and offensive conduct,6
2022,December,Central Goldfields,E Justice procedures offences,E10 Justice procedures,12
2022,December,Central Goldfields,E Justice procedures offences,E20 Breaches of orders,104
2022,December,Colac-Otway,A Crimes against the person,A20 Assault and related offences,145
2022,December,Colac-Otway,A Crimes against the person,A30 Sexual offences,19
2022,December,Colac-Otway,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20
2022,December,Colac-Otway,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19
2022,December,Colac-Otway,B Property and deception offences,B10 Arson,6
2022,December,Colac-Otway,B Property and deception offences,B20 Property damage,50
2022,December,Colac-Otway,B Property and deception offences,B30 Burglary/Break and enter,35
2022,December,Colac-Otway,B Property and deception offences,B40 Theft,50
2022,December,Colac-Otway,B Property and deception offences,B50 Deception,6
2022,December,Colac-Otway,C Drug offences,C10 Drug dealing and trafficking,10
2022,December,Colac-Otway,C Drug offences,C20 Cultivate or manufacture drugs,4
2022,December,Colac-Otway,C Drug offences,C30 Drug use and possession,41
2022,December,Colac-Otway,D Public order and security offences,D10 Weapons and explosives offences,28
2022,December,Colac-Otway,D Public order and security offences,D20 Disorderly and offensive conduct,43
2022,December,Colac-Otway,E Justice procedures offences,E10 Justice procedures,12
2022,December,Colac-Otway,E Justice procedures offences,E20 Breaches of orders,119
2022,December,Colac-Otway,F Other offences,F90 Miscellaneous offences,6
2022,December,Corangamite,A Crimes against the person,A20 Assault and related offences,56
2022,December,Corangamite,A Crimes against the person,A30 Sexual offences,16
2022,December,Corangamite,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",18
2022,December,Corangamite,A Crimes against the person,A80 Dangerous and negligent acts endangering people,6
2022,December,Corangamite,B Property and deception offences,B20 Property damage,21
2022,December,Corangamite,B Property and deception offences,B30 Burglary/Break and enter,31
2022,December,Corangamite,B Property and deception offences,B40 Theft,27
2022,December,Corangamite,B Property and deception offences,B50 Deception,11
2022,December,Corangamite,C Drug offences,C30 Drug use and possession,18
2022,December,Corangamite,D Public order and security offences,D10 Weapons and explosives offences,9
2022,December,Corangamite,D Public order and security offences,D20 Disorderly and offensive conduct,6
2022,December,Corangamite,E Justice procedures offences,E10 Justice procedures,4
2022,December,Corangamite,E Justice procedures offences,E20 Breaches of orders,41
2022,December,Darebin,A Crimes against the person,A10 Homicide and related offences,9
2022,December,Darebin,A Crimes against the person,A20 Assault and related offences,660
2022,December,Darebin,A Crimes against the person,A30 Sexual offences,83
2022,December,Darebin,A Crimes against the person,A40 Abduction and related offences,11
2022,December,Darebin,A Crimes against the person,A50 Robbery,83
2022,December,Darebin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",128
2022,December,Darebin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,75
2022,December,Darebin,B Property and deception offences,B10 Arson,23
2022,December,Darebin,B Property and deception offences,B20 Property damage,203
2022,December,Darebin,B Property and deception offences,B30 Burglary/Break and enter,190
2022,December,Darebin,B Property and deception offences,B40 Theft,"1,000"
2022,December,Darebin,B Property and deception offences,B50 Deception,209
2022,December,Darebin,C Drug offences,C10 Drug dealing and trafficking,74
2022,December,Darebin,C Drug offences,C20 Cultivate or manufacture drugs,66
2022,December,Darebin,C Drug offences,C30 Drug use and possession,300
2022,December,Darebin,D Public order and security offences,D10 Weapons and explosives offences,220
2022,December,Darebin,D Public order and security offences,D20 Disorderly and offensive conduct,47
2022,December,Darebin,D Public order and security offences,D30 Public nuisance offences,27
2022,December,Darebin,E Justice procedures offences,E10 Justice procedures,48
2022,December,Darebin,E Justice procedures offences,E20 Breaches of orders,460
2022,December,Darebin,F Other offences,F90 Miscellaneous offences,17
2022,December,East Gippsland,A Crimes against the person,A20 Assault and related offences,485
2022,December,East Gippsland,A Crimes against the person,A30 Sexual offences,68
2022,December,East Gippsland,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",64
2022,December,East Gippsland,A Crimes against the person,A80 Dangerous and negligent acts endangering people,44
2022,December,East Gippsland,B Property and deception offences,B10 Arson,4
2022,December,East Gippsland,B Property and deception offences,B20 Property damage,162
2022,December,East Gippsland,B Property and deception offences,B30 Burglary/Break and enter,70
2022,December,East Gippsland,B Property and deception offences,B40 Theft,175
2022,December,East Gippsland,B Property and deception offences,B50 Deception,37
2022,December,East Gippsland,C Drug offences,C10 Drug dealing and trafficking,18
2022,December,East Gippsland,C Drug offences,C20 Cultivate or manufacture drugs,19
2022,December,East Gippsland,C Drug offences,C30 Drug use and possession,115
2022,December,East Gippsland,D Public order and security offences,D10 Weapons and explosives offences,98
2022,December,East Gippsland,D Public order and security offences,D20 Disorderly and offensive conduct,70
2022,December,East Gippsland,D Public order and security offences,D30 Public nuisance offences,8
2022,December,East Gippsland,E Justice procedures offences,E10 Justice procedures,39
2022,December,East Gippsland,E Justice procedures offences,E20 Breaches of orders,458
2022,December,East Gippsland,F Other offences,F90 Miscellaneous offences,14
2022,December,Frankston,A Crimes against the person,A10 Homicide and related offences,6
2022,December,Frankston,A Crimes against the person,A20 Assault and related offences,934
2022,December,Frankston,A Crimes against the person,A30 Sexual offences,99
2022,December,Frankston,A Crimes against the person,A40 Abduction and related offences,4
2022,December,Frankston,A Crimes against the person,A50 Robbery,54
2022,December,Frankston,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",171
2022,December,Frankston,A Crimes against the person,A80 Dangerous and negligent acts endangering people,79
2022,December,Frankston,B Property and deception offences,B10 Arson,24
2022,December,Frankston,B Property and deception offences,B20 Property damage,370
2022,December,Frankston,B Property and deception offences,B30 Burglary/Break and enter,213
2022,December,Frankston,B Property and deception offences,B40 Theft,745
2022,December,Frankston,B Property and deception offences,B50 Deception,149
2022,December,Frankston,C Drug offences,C10 Drug dealing and trafficking,81
2022,December,Frankston,C Drug offences,C20 Cultivate or manufacture drugs,62
2022,December,Frankston,C Drug offences,C30 Drug use and possession,293
2022,December,Frankston,D Public order and security offences,D10 Weapons and explosives offences,270
2022,December,Frankston,D Public order and security offences,D20 Disorderly and offensive conduct,182
2022,December,Frankston,D Public order and security offences,D30 Public nuisance offences,12
2022,December,Frankston,E Justice procedures offences,E10 Justice procedures,89
2022,December,Frankston,E Justice procedures offences,E20 Breaches of orders,"1,095"
2022,December,Frankston,F Other offences,F90 Miscellaneous offences,9
2022,December,Gannawarra,A Crimes against the person,A20 Assault and related offences,71
2022,December,Gannawarra,A Crimes against the person,A30 Sexual offences,11
2022,December,Gannawarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",13
2022,December,Gannawarra,A Crimes against the person,A80 Dangerous and negligent acts endangering people,6
2022,December,Gannawarra,B Property and deception offences,B20 Property damage,24
2022,December,Gannawarra,B Property and deception offences,B30 Burglary/Break and enter,9
2022,December,Gannawarra,B Property and deception offences,B40 Theft,22
2022,December,Gannawarra,B Property and deception offences,B50 Deception,6
2022,December,Gannawarra,C Drug offences,C20 Cultivate or manufacture drugs,6
2022,December,Gannawarra,C Drug offences,C30 Drug use and possession,16
2022,December,Gannawarra,D Public order and security offences,D10 Weapons and explosives offences,15
2022,December,Gannawarra,D Public order and security offences,D20 Disorderly and offensive conduct,21
2022,December,Gannawarra,E Justice procedures offences,E10 Justice procedures,6
2022,December,Gannawarra,E Justice procedures offences,E20 Breaches of orders,41
2022,December,Glen Eira,A Crimes against the person,A20 Assault and related offences,400
2022,December,Glen Eira,A Crimes against the person,A30 Sexual offences,67
2022,December,Glen Eira,A Crimes against the person,A50 Robbery,28
2022,December,Glen Eira,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",60
2022,December,Glen Eira,A Crimes against the person,A80 Dangerous and negligent acts endangering people,18
2022,December,Glen Eira,B Property and deception offences,B10 Arson,4
2022,December,Glen Eira,B Property and deception offences,B20 Property damage,152
2022,December,Glen Eira,B Property and deception offences,B30 Burglary/Break and enter,121
2022,December,Glen Eira,B Property and deception offences,B40 Theft,394
2022,December,Glen Eira,B Property and deception offences,B50 Deception,84
2022,December,Glen Eira,C Drug offences,C10 Drug dealing and trafficking,31
2022,December,Glen Eira,C Drug offences,C20 Cultivate or manufacture drugs,20
2022,December,Glen Eira,C Drug offences,C30 Drug use and possession,82
2022,December,Glen Eira,D Public order and security offences,D10 Weapons and explosives offences,50
2022,December,Glen Eira,D Public order and security offences,D20 Disorderly and offensive conduct,63
2022,December,Glen Eira,D Public order and security offences,D30 Public nuisance offences,9
2022,December,Glen Eira,E Justice procedures offences,E10 Justice procedures,20
2022,December,Glen Eira,E Justice procedures offences,E20 Breaches of orders,276
2022,December,Glen Eira,F Other offences,F90 Miscellaneous offences,11
2022,December,Glenelg,A Crimes against the person,A20 Assault and related offences,158
2022,December,Glenelg,A Crimes against the person,A30 Sexual offences,32
2022,December,Glenelg,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",34
2022,December,Glenelg,A Crimes against the person,A80 Dangerous and negligent acts endangering people,10
2022,December,Glenelg,B Property and deception offences,B10 Arson,6
2022,December,Glenelg,B Property and deception offences,B20 Property damage,57
2022,December,Glenelg,B Property and deception offences,B30 Burglary/Break and enter,21
2022,December,Glenelg,B Property and deception offences,B40 Theft,61
2022,December,Glenelg,B Property and deception offences,B50 Deception,22
2022,December,Glenelg,C Drug offences,C10 Drug dealing and trafficking,18
2022,December,Glenelg,C Drug offences,C20 Cultivate or manufacture drugs,8
2022,December,Glenelg,C Drug offences,C30 Drug use and possession,21
2022,December,Glenelg,D Public order and security offences,D10 Weapons and explosives offences,25
2022,December,Glenelg,D Public order and security offences,D20 Disorderly and offensive conduct,31
2022,December,Glenelg,D Public order and security offences,D30 Public nuisance offences,8
2022,December,Glenelg,E Justice procedures offences,E10 Justice procedures,16
2022,December,Glenelg,E Justice procedures offences,E20 Breaches of orders,156
2022,December,Glenelg,F Other offences,F90 Miscellaneous offences,19
2022,December,Golden Plains,A Crimes against the person,A20 Assault and related offences,31
2022,December,Golden Plains,A Crimes against the person,A30 Sexual offences,10
2022,December,Golden Plains,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",11
2022,December,Golden Plains,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4
2022,December,Golden Plains,B Property and deception offences,B10 Arson,8
