Year,Year ending,Local Government Area,Sex,Harm Caused Flag,Victim Reports
2022,December,Gannawarra,Males,High Harm,23
2022,December,Gannawarra,Males,Low Harm,78
2022,December,Gannawarra,Males,Medium Harm,32
2022,December,Glen Eira,Females,High Harm,244
2022,December,Glen Eira,Females,Low Harm,"1,046"
2022,December,Glen Eira,Females,Medium Harm,374
2022,December,Glen Eira,Males,High Harm,168
2022,December,Glen Eira,Males,Low Harm,"1,566"
2022,December,Glen Eira,Males,Medium Harm,431
2022,December,Glenelg,Females,High Harm,69
2022,December,Glenelg,Females,Low Harm,121
2022,December,Glenelg,Females,Medium Harm,97
2022,December,Glenelg,Males,High Harm,46
2022,December,Glenelg,Males,Low Harm,166
2022,December,Glenelg,Males,Medium Harm,75
2022,December,Golden Plains,Females,High Harm,20
2022,December,Golden Plains,Females,Low Harm,59
2022,December,Golden Plains,Females,Medium Harm,40
2022,December,Golden Plains,Males,High Harm,11
2022,December,Golden Plains,Males,Low Harm,78
2022,December,Golden Plains,Males,Medium Harm,34
2022,December,Greater Bendigo,Females,High Harm,487
2022,December,Greater Bendigo,Females,Low Harm,"1,063"
2022,December,Greater Bendigo,Females,Medium Harm,503
2022,December,Greater Bendigo,Males,High Harm,306
2022,December,Greater Bendigo,Males,Low Harm,"1,256"
2022,December,Greater Bendigo,Males,Medium Harm,418
2022,December,Greater Dandenong,Females,High Harm,494
2022,December,Greater Dandenong,Females,Low Harm,"1,442"
2022,December,Greater Dandenong,Females,Medium Harm,902
2022,December,Greater Dandenong,Males,High Harm,592
2022,December,Greater Dandenong,Males,Low Harm,"2,390"
2022,December,Greater Dandenong,Males,Medium Harm,976
2022,December,Greater Geelong,Females,High Harm,762
2022,December,Greater Geelong,Females,Low Harm,"2,276"
2022,December,Greater Geelong,Females,Medium Harm,"1,056"
2022,December,Greater Geelong,Males,High Harm,660
2022,December,Greater Geelong,Males,Low Harm,"2,663"
2022,December,Greater Geelong,Males,Medium Harm,805
2022,December,Greater Shepparton,Females,High Harm,447
2022,December,Greater Shepparton,Females,Low Harm,668
2022,December,Greater Shepparton,Females,Medium Harm,248
2022,December,Greater Shepparton,Males,High Harm,201
2022,December,Greater Shepparton,Males,Low Harm,791
2022,December,Greater Shepparton,Males,Medium Harm,286
2022,December,Hepburn,Females,High Harm,11
2022,December,Hepburn,Females,Low Harm,67
2022,December,Hepburn,Females,Medium Harm,25
2022,December,Hepburn,Males,High Harm,28
2022,December,Hepburn,Males,Low Harm,126
2022,December,Hepburn,Males,Medium Harm,38
2022,December,Hindmarsh,Females,High Harm,7
2022,December,Hindmarsh,Females,Low Harm,26
2022,December,Hindmarsh,Females,Medium Harm,17
2022,December,Hindmarsh,Males,High Harm,7
2022,December,Hindmarsh,Males,Low Harm,30
2022,December,Hindmarsh,Males,Medium Harm,14
2022,December,Hobsons Bay,Females,High Harm,158
2022,December,Hobsons Bay,Females,Low Harm,734
2022,December,Hobsons Bay,Females,Medium Harm,273
2022,December,Hobsons Bay,Males,High Harm,170
2022,December,Hobsons Bay,Males,Low Harm,"1,135"
2022,December,Hobsons Bay,Males,Medium Harm,304
2022,December,Horsham,Females,High Harm,108
2022,December,Horsham,Females,Low Harm,171
2022,December,Horsham,Females,Medium Harm,116
2022,December,Horsham,Males,High Harm,83
2022,December,Horsham,Males,Low Harm,233
2022,December,Horsham,Males,Medium Harm,119
2022,December,Hume,Females,High Harm,617
2022,December,Hume,Females,Low Harm,"1,572"
2022,December,Hume,Females,Medium Harm,"1,028"
2022,December,Hume,Males,High Harm,528
2022,December,Hume,Males,Low Harm,"2,383"
2022,December,Hume,Males,Medium Harm,"1,038"
2022,December,Indigo,Females,High Harm,43
2022,December,Indigo,Females,Low Harm,66
2022,December,Indigo,Females,Medium Harm,34
2022,December,Indigo,Males,High Harm,21
2022,December,Indigo,Males,Low Harm,114
2022,December,Indigo,Males,Medium Harm,29
2022,December,Kingston,Females,High Harm,363
2022,December,Kingston,Females,Low Harm,"1,085"
2022,December,Kingston,Females,Medium Harm,555
2022,December,Kingston,Males,High Harm,313
2022,December,Kingston,Males,Low Harm,"1,527"
2022,December,Kingston,Males,Medium Harm,520
2022,December,Knox,Females,High Harm,283
2022,December,Knox,Females,Low Harm,755
2022,December,Knox,Females,Medium Harm,477
2022,December,Knox,Males,High Harm,254
2022,December,Knox,Males,Low Harm,"1,124"
2022,December,Knox,Males,Medium Harm,426
2022,December,Latrobe,Females,High Harm,514
2022,December,Latrobe,Females,Low Harm,945
2022,December,Latrobe,Females,Medium Harm,655
2022,December,Latrobe,Males,High Harm,394
2022,December,Latrobe,Males,Low Harm,967
2022,December,Latrobe,Males,Medium Harm,445
2022,December,Loddon,Females,High Harm,20
2022,December,Loddon,Females,Low Harm,43
2022,December,Loddon,Females,Medium Harm,19
2022,December,Loddon,Males,High Harm,9
2022,December,Loddon,Males,Low Harm,65
2022,December,Loddon,Males,Medium Harm,25
2022,December,Macedon Ranges,Females,High Harm,76
2022,December,Macedon Ranges,Females,Low Harm,157
2022,December,Macedon Ranges,Females,Medium Harm,118
2022,December,Macedon Ranges,Males,High Harm,57
2022,December,Macedon Ranges,Males,Low Harm,270
2022,December,Macedon Ranges,Males,Medium Harm,109
2022,December,Manningham,Females,High Harm,170
2022,December,Manningham,Females,Low Harm,450
2022,December,Manningham,Females,Medium Harm,230
2022,December,Manningham,Males,High Harm,142
2022,December,Manningham,Males,Low Harm,601
2022,December,Manningham,Males,Medium Harm,248
2022,December,Mansfield,Females,High Harm,10
2022,December,Mansfield,Females,Low Harm,33
2022,December,Mansfield,Females,Medium Harm,16
2022,December,Mansfield,Males,High Harm,8
2022,December,Mansfield,Males,Low Harm,43
2022,December,Mansfield,Males,Medium Harm,19
2022,December,Maribyrnong,Females,High Harm,271
2022,December,Maribyrnong,Females,Low Harm,"1,133"
2022,December,Maribyrnong,Females,Medium Harm,391
2022,December,Maribyrnong,Males,High Harm,277
2022,December,Maribyrnong,Males,Low Harm,"1,667"
2022,December,Maribyrnong,Males,Medium Harm,466
2022,December,Maroondah,Females,High Harm,236
2022,December,Maroondah,Females,Low Harm,596
2022,December,Maroondah,Females,Medium Harm,386
2022,December,Maroondah,Males,High Harm,203
2022,December,Maroondah,Males,Low Harm,714
2022,December,Maroondah,Males,Medium Harm,314
2022,December,Melbourne,Females,High Harm,999
2022,December,Melbourne,Females,Low Harm,"3,184"
2022,December,Melbourne,Females,Medium Harm,"1,253"
2022,December,Melbourne,Males,High Harm,"1,256"
2022,December,Melbourne,Males,Low Harm,"4,782"
2022,December,Melbourne,Males,Medium Harm,"1,891"
2022,December,Melton,Females,High Harm,469
2022,December,Melton,Females,Low Harm,"1,053"
2022,December,Melton,Females,Medium Harm,839
2022,December,Melton,Males,High Harm,413
2022,December,Melton,Males,Low Harm,"1,419"
2022,December,Melton,Males,Medium Harm,514
2022,December,Merri-bek,Females,High Harm,366
2022,December,Merri-bek,Females,Low Harm,"1,655"
2022,December,Merri-bek,Females,Medium Harm,598
2022,December,Merri-bek,Males,High Harm,346
2022,December,Merri-bek,Males,Low Harm,"2,288"
2022,December,Merri-bek,Males,Medium Harm,720
2022,December,Mildura,Females,High Harm,306
2022,December,Mildura,Females,Low Harm,680
2022,December,Mildura,Females,Medium Harm,435
2022,December,Mildura,Males,High Harm,211
2022,December,Mildura,Males,Low Harm,879
2022,December,Mildura,Males,Medium Harm,371
2022,December,Mitchell,Females,High Harm,150
2022,December,Mitchell,Females,Low Harm,227
2022,December,Mitchell,Females,Medium Harm,242
2022,December,Mitchell,Males,High Harm,109
2022,December,Mitchell,Males,Low Harm,319
2022,December,Mitchell,Males,Medium Harm,190
2022,December,Moira,Females,High Harm,92
2022,December,Moira,Females,Low Harm,181
2022,December,Moira,Females,Medium Harm,115
2022,December,Moira,Males,High Harm,53
2022,December,Moira,Males,Low Harm,258
2022,December,Moira,Males,Medium Harm,103
2022,December,Monash,Females,High Harm,359
2022,December,Monash,Females,Low Harm,"1,383"
2022,December,Monash,Females,Medium Harm,541
2022,December,Monash,Males,High Harm,286
2022,December,Monash,Males,Low Harm,"2,245"
2022,December,Monash,Males,Medium Harm,658
2022,December,Moonee Valley,Females,High Harm,201
2022,December,Moonee Valley,Females,Low Harm,899
2022,December,Moonee Valley,Females,Medium Harm,386
2022,December,Moonee Valley,Males,High Harm,193
2022,December,Moonee Valley,Males,Low Harm,"1,305"
2022,December,Moonee Valley,Males,Medium Harm,387
2022,December,Moorabool,Females,High Harm,57
2022,December,Moorabool,Females,Low Harm,215
2022,December,Moorabool,Females,Medium Harm,128
2022,December,Moorabool,Males,High Harm,47
2022,December,Moorabool,Males,Low Harm,252
2022,December,Moorabool,Males,Medium Harm,95
2022,December,Mornington Peninsula,Females,High Harm,336
