Year,Year ending,Local Government Area,Sex,Harm Caused Flag,Victim Reports
2020,December,Colac-Otway,Females,Low Harm,142
2020,December,Colac-Otway,Females,Medium Harm,105
2020,December,Colac-Otway,Males,High Harm,55
2020,December,Colac-Otway,Males,Low Harm,211
2020,December,Colac-Otway,Males,Medium Harm,52
2020,December,Corangamite,Females,High Harm,41
2020,December,Corangamite,Females,Low Harm,60
2020,December,Corangamite,Females,Medium Harm,46
2020,December,Corangamite,Males,High Harm,25
2020,December,Corangamite,Males,Low Harm,109
2020,December,Corangamite,Males,Medium Harm,29
2020,December,Darebin,Females,High Harm,342
2020,December,Darebin,Females,Low Harm,"1,778"
2020,December,Darebin,Females,Medium Harm,612
2020,December,Darebin,Males,High Harm,383
2020,December,Darebin,Males,Low Harm,"2,532"
2020,December,Darebin,Males,Medium Harm,715
2020,December,East Gippsland,Females,High Harm,272
2020,December,East Gippsland,Females,Low Harm,454
2020,December,East Gippsland,Females,Medium Harm,315
2020,December,East Gippsland,Males,High Harm,194
2020,December,East Gippsland,Males,Low Harm,471
2020,December,East Gippsland,Males,Medium Harm,243
2020,December,Frankston,Females,High Harm,420
2020,December,Frankston,Females,Low Harm,"1,271"
2020,December,Frankston,Females,Medium Harm,709
2020,December,Frankston,Males,High Harm,409
2020,December,Frankston,Males,Low Harm,"1,543"
2020,December,Frankston,Males,Medium Harm,570
2020,December,Gannawarra,Females,High Harm,35
2020,December,Gannawarra,Females,Low Harm,50
2020,December,Gannawarra,Females,Medium Harm,40
2020,December,Gannawarra,Males,High Harm,25
2020,December,Gannawarra,Males,Low Harm,77
2020,December,Gannawarra,Males,Medium Harm,32
2020,December,Glen Eira,Females,High Harm,232
2020,December,Glen Eira,Females,Low Harm,"1,140"
2020,December,Glen Eira,Females,Medium Harm,343
2020,December,Glen Eira,Males,High Harm,176
2020,December,Glen Eira,Males,Low Harm,"1,656"
2020,December,Glen Eira,Males,Medium Harm,370
2020,December,Glenelg,Females,High Harm,62
2020,December,Glenelg,Females,Low Harm,131
2020,December,Glenelg,Females,Medium Harm,81
2020,December,Glenelg,Males,High Harm,49
2020,December,Glenelg,Males,Low Harm,138
2020,December,Glenelg,Males,Medium Harm,67
2020,December,Golden Plains,Females,High Harm,37
2020,December,Golden Plains,Females,Low Harm,69
2020,December,Golden Plains,Females,Medium Harm,29
2020,December,Golden Plains,Males,High Harm,12
2020,December,Golden Plains,Males,Low Harm,92
2020,December,Golden Plains,Males,Medium Harm,36
2020,December,Greater Bendigo,Females,High Harm,395
2020,December,Greater Bendigo,Females,Low Harm,"1,079"
2020,December,Greater Bendigo,Females,Medium Harm,532
2020,December,Greater Bendigo,Males,High Harm,308
2020,December,Greater Bendigo,Males,Low Harm,"1,204"
2020,December,Greater Bendigo,Males,Medium Harm,445
2020,December,Greater Dandenong,Females,High Harm,479
2020,December,Greater Dandenong,Females,Low Harm,"1,559"
2020,December,Greater Dandenong,Females,Medium Harm,905
2020,December,Greater Dandenong,Males,High Harm,524
2020,December,Greater Dandenong,Males,Low Harm,"2,605"
2020,December,Greater Dandenong,Males,Medium Harm,"1,040"
2020,December,Greater Geelong,Females,High Harm,844
2020,December,Greater Geelong,Females,Low Harm,"2,311"
2020,December,Greater Geelong,Females,Medium Harm,989
2020,December,Greater Geelong,Males,High Harm,681
2020,December,Greater Geelong,Males,Low Harm,"2,953"
2020,December,Greater Geelong,Males,Medium Harm,788
2020,December,Greater Shepparton,Females,High Harm,440
2020,December,Greater Shepparton,Females,Low Harm,734
2020,December,Greater Shepparton,Females,Medium Harm,260
2020,December,Greater Shepparton,Males,High Harm,255
2020,December,Greater Shepparton,Males,Low Harm,876
2020,December,Greater Shepparton,Males,Medium Harm,231
2020,December,Hepburn,Females,High Harm,32
2020,December,Hepburn,Females,Low Harm,93
2020,December,Hepburn,Females,Medium Harm,30
2020,December,Hepburn,Males,High Harm,25
2020,December,Hepburn,Males,Low Harm,125
2020,December,Hepburn,Males,Medium Harm,43
2020,December,Hindmarsh,Females,High Harm,27
2020,December,Hindmarsh,Females,Low Harm,54
2020,December,Hindmarsh,Females,Medium Harm,25
2020,December,Hindmarsh,Males,High Harm,12
2020,December,Hindmarsh,Males,Low Harm,46
2020,December,Hindmarsh,Males,Medium Harm,24
2020,December,Hobsons Bay,Females,High Harm,190
2020,December,Hobsons Bay,Females,Low Harm,552
2020,December,Hobsons Bay,Females,Medium Harm,213
2020,December,Hobsons Bay,Males,High Harm,179
2020,December,Hobsons Bay,Males,Low Harm,885
2020,December,Hobsons Bay,Males,Medium Harm,234
2020,December,Horsham,Females,High Harm,115
2020,December,Horsham,Females,Low Harm,129
2020,December,Horsham,Females,Medium Harm,124
2020,December,Horsham,Males,High Harm,84
2020,December,Horsham,Males,Low Harm,136
2020,December,Horsham,Males,Medium Harm,85
2020,December,Hume,Females,High Harm,685
2020,December,Hume,Females,Low Harm,"1,682"
2020,December,Hume,Females,Medium Harm,"1,113"
2020,December,Hume,Males,High Harm,570
2020,December,Hume,Males,Low Harm,"2,502"
2020,December,Hume,Males,Medium Harm,"1,096"
2020,December,Indigo,Females,High Harm,32
2020,December,Indigo,Females,Low Harm,43
2020,December,Indigo,Females,Medium Harm,31
2020,December,Indigo,Males,High Harm,14
2020,December,Indigo,Males,Low Harm,82
2020,December,Indigo,Males,Medium Harm,23
2020,December,Kingston,Females,High Harm,310
2020,December,Kingston,Females,Low Harm,"1,172"
2020,December,Kingston,Females,Medium Harm,534
2020,December,Kingston,Males,High Harm,275
2020,December,Kingston,Males,Low Harm,"1,746"
2020,December,Kingston,Males,Medium Harm,539
2020,December,Knox,Females,High Harm,313
2020,December,Knox,Females,Low Harm,"1,202"
2020,December,Knox,Females,Medium Harm,497
2020,December,Knox,Males,High Harm,253
2020,December,Knox,Males,Low Harm,"1,664"
2020,December,Knox,Males,Medium Harm,485
2020,December,Latrobe,Females,High Harm,509
2020,December,Latrobe,Females,Low Harm,"1,198"
2020,December,Latrobe,Females,Medium Harm,646
2020,December,Latrobe,Males,High Harm,466
2020,December,Latrobe,Males,Low Harm,"1,327"
2020,December,Latrobe,Males,Medium Harm,452
2020,December,Loddon,Females,High Harm,17
2020,December,Loddon,Females,Low Harm,43
2020,December,Loddon,Females,Medium Harm,23
2020,December,Loddon,Males,High Harm,20
2020,December,Loddon,Males,Low Harm,72
2020,December,Loddon,Males,Medium Harm,24
2020,December,Macedon Ranges,Females,High Harm,89
2020,December,Macedon Ranges,Females,Low Harm,203
2020,December,Macedon Ranges,Females,Medium Harm,135
2020,December,Macedon Ranges,Males,High Harm,55
2020,December,Macedon Ranges,Males,Low Harm,284
2020,December,Macedon Ranges,Males,Medium Harm,76
2020,December,Manningham,Females,High Harm,136
2020,December,Manningham,Females,Low Harm,541
2020,December,Manningham,Females,Medium Harm,220
2020,December,Manningham,Males,High Harm,133
2020,December,Manningham,Males,Low Harm,881
2020,December,Manningham,Males,Medium Harm,214
2020,December,Mansfield,Females,High Harm,20
2020,December,Mansfield,Females,Low Harm,32
2020,December,Mansfield,Females,Medium Harm,14
2020,December,Mansfield,Males,High Harm,12
2020,December,Mansfield,Males,Low Harm,61
2020,December,Mansfield,Males,Medium Harm,18
2020,December,Maribyrnong,Females,High Harm,222
2020,December,Maribyrnong,Females,Low Harm,"1,107"
2020,December,Maribyrnong,Females,Medium Harm,297
2020,December,Maribyrnong,Males,High Harm,333
2020,December,Maribyrnong,Males,Low Harm,"1,717"
2020,December,Maribyrnong,Males,Medium Harm,405
2020,December,Maroondah,Females,High Harm,239
2020,December,Maroondah,Females,Low Harm,705
2020,December,Maroondah,Females,Medium Harm,358
2020,December,Maroondah,Males,High Harm,201
2020,December,Maroondah,Males,Low Harm,881
2020,December,Maroondah,Males,Medium Harm,345
2020,December,Melbourne,Females,High Harm,882
2020,December,Melbourne,Females,Low Harm,"2,446"
2020,December,Melbourne,Females,Medium Harm,914
2020,December,Melbourne,Males,High Harm,"1,067"
2020,December,Melbourne,Males,Low Harm,"4,139"
2020,December,Melbourne,Males,Medium Harm,"1,302"
2020,December,Melton,Females,High Harm,488
2020,December,Melton,Females,Low Harm,"1,141"
2020,December,Melton,Females,Medium Harm,798
2020,December,Melton,Males,High Harm,394
2020,December,Melton,Males,Low Harm,"1,450"
2020,December,Melton,Males,Medium Harm,566
2020,December,Merri-bek,Females,High Harm,384
2020,December,Merri-bek,Females,Low Harm,"1,849"
2020,December,Merri-bek,Females,Medium Harm,616
2020,December,Merri-bek,Males,High Harm,346
2020,December,Merri-bek,Males,Low Harm,"2,576"
2020,December,Merri-bek,Males,Medium Harm,729
2020,December,Mildura,Females,High Harm,277
2020,December,Mildura,Females,Low Harm,606
2020,December,Mildura,Females,Medium Harm,370
2020,December,Mildura,Males,High Harm,202
2020,December,Mildura,Males,Low Harm,640
2020,December,Mildura,Males,Medium Harm,286
2020,December,Mitchell,Females,High Harm,154
2020,December,Mitchell,Females,Low Harm,322
2020,December,Mitchell,Females,Medium Harm,364
2020,December,Mitchell,Males,High Harm,104
2020,December,Mitchell,Males,Low Harm,413
2020,December,Mitchell,Males,Medium Harm,253
2020,December,Moira,Females,High Harm,80
2020,December,Moira,Females,Low Harm,175
2020,December,Moira,Females,Medium Harm,93
2020,December,Moira,Males,High Harm,61
2020,December,Moira,Males,Low Harm,281
2020,December,Moira,Males,Medium Harm,78
2020,December,Monash,Females,High Harm,257
2020,December,Monash,Females,Low Harm,"1,406"
2020,December,Monash,Females,Medium Harm,552
2020,December,Monash,Males,High Harm,297
2020,December,Monash,Males,Low Harm,"2,211"
2020,December,Monash,Males,Medium Harm,623
2020,December,Moonee Valley,Females,High Harm,199
2020,December,Moonee Valley,Females,Low Harm,"1,012"
2020,December,Moonee Valley,Females,Medium Harm,348
2020,December,Moonee Valley,Males,High Harm,203
2020,December,Moonee Valley,Males,Low Harm,"1,356"
2020,December,Moonee Valley,Males,Medium Harm,383
2020,December,Moorabool,Females,High Harm,77
2020,December,Moorabool,Females,Low Harm,218
2020,December,Moorabool,Females,Medium Harm,107
2020,December,Moorabool,Males,High Harm,49
2020,December,Moorabool,Males,Low Harm,326
2020,December,Moorabool,Males,Medium Harm,101
2020,December,Mornington Peninsula,Females,High Harm,343
2020,December,Mornington Peninsula,Females,Low Harm,"1,082"
2020,December,Mornington Peninsula,Females,Medium Harm,473
2020,December,Mornington Peninsula,Males,High Harm,275
2020,December,Mornington Peninsula,Males,Low Harm,"1,404"
2020,December,Mornington Peninsula,Males,Medium Harm,405
2020,December,Mount Alexander,Females,High Harm,37
2020,December,Mount Alexander,Females,Low Harm,67
2020,December,Mount Alexander,Females,Medium Harm,50
2020,December,Mount Alexander,Males,High Harm,24
2020,December,Mount Alexander,Males,Low Harm,121
2020,December,Mount Alexander,Males,Medium Harm,43
2020,December,Moyne,Females,High Harm,33
2020,December,Moyne,Females,Low Harm,71
2020,December,Moyne,Females,Medium Harm,42
2020,December,Moyne,Males,High Harm,15
2020,December,Moyne,Males,Low Harm,85
2020,December,Moyne,Males,Medium Harm,23
2020,December,Murrindindi,Females,High Harm,36
2020,December,Murrindindi,Females,Low Harm,52
2020,December,Murrindindi,Females,Medium Harm,49
2020,December,Murrindindi,Males,High Harm,23
2020,December,Murrindindi,Males,Low Harm,119
2020,December,Murrindindi,Males,Medium Harm,53
2020,December,Nillumbik,Females,High Harm,78
2020,December,Nillumbik,Females,Low Harm,199
2020,December,Nillumbik,Females,Medium Harm,101
2020,December,Nillumbik,Males,High Harm,63
2020,December,Nillumbik,Males,Low Harm,318
2020,December,Nillumbik,Males,Medium Harm,97
2020,December,Northern Grampians,Females,High Harm,46
2020,December,Northern Grampians,Females,Low Harm,71
2020,December,Northern Grampians,Females,Medium Harm,55
2020,December,Northern Grampians,Males,High Harm,45
2020,December,Northern Grampians,Males,Low Harm,108
2020,December,Northern Grampians,Males,Medium Harm,61
2020,December,Port Phillip,Females,High Harm,399
2020,December,Port Phillip,Females,Low Harm,"1,560"
2020,December,Port Phillip,Females,Medium Harm,514
2020,December,Port Phillip,Males,High Harm,420
2020,December,Port Phillip,Males,Low Harm,"2,417"
2020,December,Port Phillip,Males,Medium Harm,597
2020,December,Pyrenees,Females,High Harm,21
2020,December,Pyrenees,Females,Low Harm,46
2020,December,Pyrenees,Females,Medium Harm,34
2020,December,Pyrenees,Males,High Harm,19
2020,December,Pyrenees,Males,Low Harm,91
2020,December,Pyrenees,Males,Medium Harm,24
2020,December,Queenscliffe,Females,High Harm,5
2020,December,Queenscliffe,Females,Low Harm,17
2020,December,Queenscliffe,Females,Medium Harm,
2020,December,Queenscliffe,Males,High Harm,4
2020,December,Queenscliffe,Males,Low Harm,33
2020,December,Queenscliffe,Males,Medium Harm,
2020,December,South Gippsland,Females,High Harm,92
2020,December,South Gippsland,Females,Low Harm,126
2020,December,South Gippsland,Females,Medium Harm,122
2020,December,South Gippsland,Males,High Harm,45
2020,December,South Gippsland,Males,Low Harm,186
2020,December,South Gippsland,Males,Medium Harm,81
2020,December,Southern Grampians,Females,High Harm,55
2020,December,Southern Grampians,Females,Low Harm,96
2020,December,Southern Grampians,Females,Medium Harm,60
2020,December,Southern Grampians,Males,High Harm,40
2020,December,Southern Grampians,Males,Low Harm,110
2020,December,Southern Grampians,Males,Medium Harm,43
2020,December,Stonnington,Females,High Harm,247
2020,December,Stonnington,Females,Low Harm,"1,589"
2020,December,Stonnington,Females,Medium Harm,374
2020,December,Stonnington,Males,High Harm,303
2020,December,Stonnington,Males,Low Harm,"1,987"
2020,December,Stonnington,Males,Medium Harm,447
2020,December,Strathbogie,Females,High Harm,29
2020,December,Strathbogie,Females,Low Harm,59
2020,December,Strathbogie,Females,Medium Harm,37
2020,December,Strathbogie,Males,High Harm,14
2020,December,Strathbogie,Males,Low Harm,98
2020,December,Strathbogie,Males,Medium Harm,35
2020,December,Surf Coast,Females,High Harm,44
2020,December,Surf Coast,Females,Low Harm,180
2020,December,Surf Coast,Females,Medium Harm,60
2020,December,Surf Coast,Males,High Harm,56
2020,December,Surf Coast,Males,Low Harm,292
2020,December,Surf Coast,Males,Medium Harm,66
2020,December,Swan Hill,Females,High Harm,109
2020,December,Swan Hill,Females,Low Harm,188
2020,December,Swan Hill,Females,Medium Harm,145
2020,December,Swan Hill,Males,High Harm,59
2020,December,Swan Hill,Males,Low Harm,195
2020,December,Swan Hill,Males,Medium Harm,102
2020,December,Towong,Females,High Harm,16
2020,December,Towong,Females,Low Harm,26
2020,December,Towong,Females,Medium Harm,12
2020,December,Towong,Males,High Harm,10
2020,December,Towong,Males,Low Harm,32
2020,December,Towong,Males,Medium Harm,11
2020,December,Wangaratta,Females,High Harm,92
2020,December,Wangaratta,Females,Low Harm,174
2020,December,Wangaratta,Females,Medium Harm,129
2020,December,Wangaratta,Males,High Harm,53
2020,December,Wangaratta,Males,Low Harm,188
2020,December,Wangaratta,Males,Medium Harm,92
2020,December,Warrnambool,Females,High Harm,115
2020,December,Warrnambool,Females,Low Harm,280
2020,December,Warrnambool,Females,Medium Harm,175
2020,December,Warrnambool,Males,High Harm,102
2020,December,Warrnambool,Males,Low Harm,303
2020,December,Warrnambool,Males,Medium Harm,108
2020,December,Wellington,Females,High Harm,177
2020,December,Wellington,Females,Low Harm,410
2020,December,Wellington,Females,Medium Harm,314
2020,December,Wellington,Males,High Harm,160
2020,December,Wellington,Males,Low Harm,475
2020,December,Wellington,Males,Medium Harm,225
2020,December,West Wimmera,Females,High Harm,12
2020,December,West Wimmera,Females,Low Harm,18
2020,December,West Wimmera,Females,Medium Harm,8
2020,December,West Wimmera,Males,High Harm,6
2020,December,West Wimmera,Males,Low Harm,23
2020,December,West Wimmera,Males,Medium Harm,5
2020,December,Whitehorse,Females,High Harm,264
2020,December,Whitehorse,Females,Low Harm,"1,139"
2020,December,Whitehorse,Females,Medium Harm,414
2020,December,Whitehorse,Males,High Harm,231
2020,December,Whitehorse,Males,Low Harm,"1,736"
2020,December,Whitehorse,Males,Medium Harm,424
2020,December,Whittlesea,Females,High Harm,448
2020,December,Whittlesea,Females,Low Harm,"1,369"
2020,December,Whittlesea,Females,Medium Harm,925
2020,December,Whittlesea,Males,High Harm,391
2020,December,Whittlesea,Males,Low Harm,"2,068"
2020,December,Whittlesea,Males,Medium Harm,803
2020,December,Wodonga,Females,High Harm,170
2020,December,Wodonga,Females,Low Harm,319
2020,December,Wodonga,Females,Medium Harm,157
2020,December,Wodonga,Males,High Harm,114
2020,December,Wodonga,Males,Low Harm,326
2020,December,Wodonga,Males,Medium Harm,112
2020,December,Wyndham,Females,High Harm,651
2020,December,Wyndham,Females,Low Harm,"1,532"
2020,December,Wyndham,Females,Medium Harm,947
2020,December,Wyndham,Males,High Harm,572
2020,December,Wyndham,Males,Low Harm,"2,298"
2020,December,Wyndham,Males,Medium Harm,726
2020,December,Yarra,Females,High Harm,353
2020,December,Yarra,Females,Low Harm,"1,698"
2020,December,Yarra,Females,Medium Harm,423
2020,December,Yarra,Males,High Harm,437
2020,December,Yarra,Males,Low Harm,"2,405"
2020,December,Yarra,Males,Medium Harm,637
2020,December,Yarra Ranges,Females,High Harm,270
2020,December,Yarra Ranges,Females,Low Harm,750
2020,December,Yarra Ranges,Females,Medium Harm,425
2020,December,Yarra Ranges,Males,High Harm,198
2020,December,Yarra Ranges,Males,Low Harm,973
2020,December,Yarra Ranges,Males,Medium Harm,379
2020,December,Yarriambiack,Females,High Harm,30
2020,December,Yarriambiack,Females,Low Harm,38
2020,December,Yarriambiack,Females,Medium Harm,31
2020,December,Yarriambiack,Males,High Harm,12
2020,December,Yarriambiack,Males,Low Harm,86
2020,December,Yarriambiack,Males,Medium Harm,23
2019,December,Alpine,Females,High Harm,28
2019,December,Alpine,Females,Low Harm,43
2019,December,Alpine,Females,Medium Harm,35
2019,December,Alpine,Males,High Harm,18
2019,December,Alpine,Males,Low Harm,77
2019,December,Alpine,Males,Medium Harm,27
2019,December,Ararat,Females,High Harm,61
2019,December,Ararat,Females,Low Harm,100
2019,December,Ararat,Females,Medium Harm,61
2019,December,Ararat,Males,High Harm,51
2019,December,Ararat,Males,Low Harm,122
2019,December,Ararat,Males,Medium Harm,36
2019,December,Ballarat,Females,High Harm,437
2019,December,Ballarat,Females,Low Harm,"1,503"
2019,December,Ballarat,Females,Medium Harm,598
2019,December,Ballarat,Males,High Harm,357
2019,December,Ballarat,Males,Low Harm,"1,795"
2019,December,Ballarat,Males,Medium Harm,665
2019,December,Banyule,Females,High Harm,236
2019,December,Banyule,Females,Low Harm,"1,068"
2019,December,Banyule,Females,Medium Harm,418
2019,December,Banyule,Males,High Harm,237
2019,December,Banyule,Males,Low Harm,"1,422"
2019,December,Banyule,Males,Medium Harm,391
2019,December,Bass Coast,Females,High Harm,108
2019,December,Bass Coast,Females,Low Harm,283
2019,December,Bass Coast,Females,Medium Harm,139
2019,December,Bass Coast,Males,High Harm,70
2019,December,Bass Coast,Males,Low Harm,390
2019,December,Bass Coast,Males,Medium Harm,92
2019,December,Baw Baw,Females,High Harm,180
2019,December,Baw Baw,Females,Low Harm,557
2019,December,Baw Baw,Females,Medium Harm,215
2019,December,Baw Baw,Males,High Harm,121
2019,December,Baw Baw,Males,Low Harm,650
2019,December,Baw Baw,Males,Medium Harm,190
2019,December,Bayside,Females,High Harm,141
2019,December,Bayside,Females,Low Harm,981
2019,December,Bayside,Females,Medium Harm,198
2019,December,Bayside,Males,High Harm,143
2019,December,Bayside,Males,Low Harm,"1,166"
2019,December,Bayside,Males,Medium Harm,218
2019,December,Benalla,Females,High Harm,53
2019,December,Benalla,Females,Low Harm,101
2019,December,Benalla,Females,Medium Harm,80
2019,December,Benalla,Males,High Harm,36
2019,December,Benalla,Males,Low Harm,127
2019,December,Benalla,Males,Medium Harm,58
2019,December,Boroondara,Females,High Harm,262
2019,December,Boroondara,Females,Low Harm,"1,411"
2019,December,Boroondara,Females,Medium Harm,240
2019,December,Boroondara,Males,High Harm,181
2019,December,Boroondara,Males,Low Harm,"1,831"
2019,December,Boroondara,Males,Medium Harm,347
2019,December,Brimbank,Females,High Harm,659
2019,December,Brimbank,Females,Low Harm,"1,879"
2019,December,Brimbank,Females,Medium Harm,972
2019,December,Brimbank,Males,High Harm,788
2019,December,Brimbank,Males,Low Harm,"2,824"
2019,December,Brimbank,Males,Medium Harm,936
2019,December,Buloke,Females,High Harm,16
2019,December,Buloke,Females,Low Harm,37
2019,December,Buloke,Females,Medium Harm,10
2019,December,Buloke,Males,High Harm,5
2019,December,Buloke,Males,Low Harm,62
2019,December,Buloke,Males,Medium Harm,7
2019,December,Campaspe,Females,High Harm,151
2019,December,Campaspe,Females,Low Harm,344
2019,December,Campaspe,Females,Medium Harm,178
2019,December,Campaspe,Males,High Harm,88
2019,December,Campaspe,Males,Low Harm,553
2019,December,Campaspe,Males,Medium Harm,144
2019,December,Cardinia,Females,High Harm,246
2019,December,Cardinia,Females,Low Harm,698
2019,December,Cardinia,Females,Medium Harm,376
2019,December,Cardinia,Males,High Harm,198
2019,December,Cardinia,Males,Low Harm,920
2019,December,Cardinia,Males,Medium Harm,313
2019,December,Casey,Females,High Harm,705
2019,December,Casey,Females,Low Harm,"2,409"
2019,December,Casey,Females,Medium Harm,"1,419"
2019,December,Casey,Males,High Harm,703
2019,December,Casey,Males,Low Harm,"3,519"
2019,December,Casey,Males,Medium Harm,"1,279"
2019,December,Central Goldfields,Females,High Harm,71
2019,December,Central Goldfields,Females,Low Harm,102
2019,December,Central Goldfields,Females,Medium Harm,85
2019,December,Central Goldfields,Males,High Harm,42
2019,December,Central Goldfields,Males,Low Harm,129
2019,December,Central Goldfields,Males,Medium Harm,46
2019,December,Colac-Otway,Females,High Harm,73
2019,December,Colac-Otway,Females,Low Harm,173
2019,December,Colac-Otway,Females,Medium Harm,96
2019,December,Colac-Otway,Males,High Harm,50
2019,December,Colac-Otway,Males,Low Harm,248
2019,December,Colac-Otway,Males,Medium Harm,58
2019,December,Corangamite,Females,High Harm,40
2019,December,Corangamite,Females,Low Harm,66
2019,December,Corangamite,Females,Medium Harm,53
2019,December,Corangamite,Males,High Harm,18
2019,December,Corangamite,Males,Low Harm,91
2019,December,Corangamite,Males,Medium Harm,23
2019,December,Darebin,Females,High Harm,386
2019,December,Darebin,Females,Low Harm,"2,215"
2019,December,Darebin,Females,Medium Harm,590
2019,December,Darebin,Males,High Harm,358
2019,December,Darebin,Males,Low Harm,"2,876"
2019,December,Darebin,Males,Medium Harm,819
2019,December,East Gippsland,Females,High Harm,289
2019,December,East Gippsland,Females,Low Harm,430
2019,December,East Gippsland,Females,Medium Harm,312
2019,December,East Gippsland,Males,High Harm,189
2019,December,East Gippsland,Males,Low Harm,543
2019,December,East Gippsland,Males,Medium Harm,186
2019,December,Frankston,Females,High Harm,480
2019,December,Frankston,Females,Low Harm,"1,627"
2019,December,Frankston,Females,Medium Harm,703
2019,December,Frankston,Males,High Harm,404
2019,December,Frankston,Males,Low Harm,"1,910"
2019,December,Frankston,Males,Medium Harm,562
2019,December,Gannawarra,Females,High Harm,28
2019,December,Gannawarra,Females,Low Harm,65
2019,December,Gannawarra,Females,Medium Harm,46
2019,December,Gannawarra,Males,High Harm,20
2019,December,Gannawarra,Males,Low Harm,80
2019,December,Gannawarra,Males,Medium Harm,41
2019,December,Glen Eira,Females,High Harm,236
2019,December,Glen Eira,Females,Low Harm,"1,120"
2019,December,Glen Eira,Females,Medium Harm,324
2019,December,Glen Eira,Males,High Harm,189
2019,December,Glen Eira,Males,Low Harm,"1,663"
2019,December,Glen Eira,Males,Medium Harm,402
2019,December,Glenelg,Females,High Harm,78
2019,December,Glenelg,Females,Low Harm,132
2019,December,Glenelg,Females,Medium Harm,63
2019,December,Glenelg,Males,High Harm,37
2019,December,Glenelg,Males,Low Harm,162
2019,December,Glenelg,Males,Medium Harm,42
2019,December,Golden Plains,Females,High Harm,24
2019,December,Golden Plains,Females,Low Harm,80
2019,December,Golden Plains,Females,Medium Harm,34
2019,December,Golden Plains,Males,High Harm,19
2019,December,Golden Plains,Males,Low Harm,114
2019,December,Golden Plains,Males,Medium Harm,45
2019,December,Greater Bendigo,Females,High Harm,432
2019,December,Greater Bendigo,Females,Low Harm,"1,062"
2019,December,Greater Bendigo,Females,Medium Harm,532
2019,December,Greater Bendigo,Males,High Harm,300
2019,December,Greater Bendigo,Males,Low Harm,"1,344"
2019,December,Greater Bendigo,Males,Medium Harm,488
2019,December,Greater Dandenong,Females,High Harm,507
2019,December,Greater Dandenong,Females,Low Harm,"1,747"
2019,December,Greater Dandenong,Females,Medium Harm,"1,030"
2019,December,Greater Dandenong,Males,High Harm,663
2019,December,Greater Dandenong,Males,Low Harm,"2,886"
2019,December,Greater Dandenong,Males,Medium Harm,"1,047"
2019,December,Greater Geelong,Females,High Harm,881
2019,December,Greater Geelong,Females,Low Harm,"2,432"
2019,December,Greater Geelong,Females,Medium Harm,"1,045"
2019,December,Greater Geelong,Males,High Harm,759
2019,December,Greater Geelong,Males,Low Harm,"3,005"
2019,December,Greater Geelong,Males,Medium Harm,850
2019,December,Greater Shepparton,Females,High Harm,403
2019,December,Greater Shepparton,Females,Low Harm,810
2019,December,Greater Shepparton,Females,Medium Harm,354
2019,December,Greater Shepparton,Males,High Harm,223
2019,December,Greater Shepparton,Males,Low Harm,"1,060"
2019,December,Greater Shepparton,Males,Medium Harm,334
2019,December,Hepburn,Females,High Harm,40
2019,December,Hepburn,Females,Low Harm,116
2019,December,Hepburn,Females,Medium Harm,63
2019,December,Hepburn,Males,High Harm,26
2019,December,Hepburn,Males,Low Harm,157
2019,December,Hepburn,Males,Medium Harm,61
2019,December,Hindmarsh,Females,High Harm,15
2019,December,Hindmarsh,Females,Low Harm,20
2019,December,Hindmarsh,Females,Medium Harm,26
2019,December,Hindmarsh,Males,High Harm,15
2019,December,Hindmarsh,Males,Low Harm,43
2019,December,Hindmarsh,Males,Medium Harm,17
2019,December,Hobsons Bay,Females,High Harm,222
2019,December,Hobsons Bay,Females,Low Harm,708
2019,December,Hobsons Bay,Females,Medium Harm,274
2019,December,Hobsons Bay,Males,High Harm,200
2019,December,Hobsons Bay,Males,Low Harm,"1,044"
2019,December,Hobsons Bay,Males,Medium Harm,234
2019,December,Horsham,Females,High Harm,83
2019,December,Horsham,Females,Low Harm,145
2019,December,Horsham,Females,Medium Harm,98
2019,December,Horsham,Males,High Harm,70
2019,December,Horsham,Males,Low Harm,146
2019,December,Horsham,Males,Medium Harm,57
2019,December,Hume,Females,High Harm,667
2019,December,Hume,Females,Low Harm,"1,942"
2019,December,Hume,Females,Medium Harm,"1,160"
2019,December,Hume,Males,High Harm,570
2019,December,Hume,Males,Low Harm,"3,128"
2019,December,Hume,Males,Medium Harm,"1,195"
2019,December,Indigo,Females,High Harm,22
2019,December,Indigo,Females,Low Harm,60
2019,December,Indigo,Females,Medium Harm,40
2019,December,Indigo,Males,High Harm,17
2019,December,Indigo,Males,Low Harm,103
2019,December,Indigo,Males,Medium Harm,23
2019,December,Kingston,Females,High Harm,312
2019,December,Kingston,Females,Low Harm,"1,338"
2019,December,Kingston,Females,Medium Harm,461
2019,December,Kingston,Males,High Harm,288
2019,December,Kingston,Males,Low Harm,"2,052"
2019,December,Kingston,Males,Medium Harm,542
2019,December,Knox,Females,High Harm,300
2019,December,Knox,Females,Low Harm,"1,399"
2019,December,Knox,Females,Medium Harm,526
2019,December,Knox,Males,High Harm,288
2019,December,Knox,Males,Low Harm,"1,960"
2019,December,Knox,Males,Medium Harm,548
2019,December,Latrobe,Females,High Harm,597
2019,December,Latrobe,Females,Low Harm,"1,374"
2019,December,Latrobe,Females,Medium Harm,686
2019,December,Latrobe,Males,High Harm,498
2019,December,Latrobe,Males,Low Harm,"1,529"
2019,December,Latrobe,Males,Medium Harm,512
