Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2022,December,Yarriambiack,Females,32
2022,December,Yarriambiack,Males,122
2021,December,Alpine,Females,46
2021,December,Alpine,Males,202
2021,December,Ararat,Females,128
2021,December,Ararat,Males,482
2021,December,Ballarat,Females,694
2021,December,Ballarat,Males,"2,208"
2021,December,Banyule,Females,602
2021,December,Banyule,Males,"1,849"
2021,December,Bass Coast,Females,314
2021,December,Bass Coast,Males,772
2021,December,Baw Baw,Females,390
2021,December,Baw Baw,Males,"1,339"
2021,December,Bayside,Females,231
2021,December,Bayside,Males,917
2021,December,Benalla,Females,95
2021,December,Benalla,Males,444
2021,December,Boroondara,Females,327
2021,December,Boroondara,Males,"1,376"
2021,December,Brimbank,Females,930
2021,December,Brimbank,Males,"3,788"
2021,December,Buloke,Females,12
2021,December,Buloke,Males,81
2021,December,Campaspe,Females,233
2021,December,Campaspe,Males,931
2021,December,Cardinia,Females,475
2021,December,Cardinia,Males,"1,712"
2021,December,Casey,Females,"1,239"
2021,December,Casey,Males,"4,924"
2021,December,Central Goldfields,Females,115
2021,December,Central Goldfields,Males,314
2021,December,Colac-Otway,Females,147
2021,December,Colac-Otway,Males,578
2021,December,Corangamite,Females,41
2021,December,Corangamite,Males,236
2021,December,Darebin,Females,875
2021,December,Darebin,Males,"2,973"
2021,December,East Gippsland,Females,480
2021,December,East Gippsland,Males,"1,399"
2021,December,Frankston,Females,"1,044"
2021,December,Frankston,Males,"3,413"
2021,December,Gannawarra,Females,67
2021,December,Gannawarra,Males,239
2021,December,Glen Eira,Females,359
2021,December,Glen Eira,Males,"1,375"
2021,December,Glenelg,Females,154
2021,December,Glenelg,Males,552
2021,December,Golden Plains,Females,25
2021,December,Golden Plains,Males,140
2021,December,Greater Bendigo,Females,766
2021,December,Greater Bendigo,Males,"2,912"
2021,December,Greater Dandenong,Females,"1,022"
2021,December,Greater Dandenong,Males,"4,075"
2021,December,Greater Geelong,Females,"1,481"
2021,December,Greater Geelong,Males,"4,996"
2021,December,Greater Shepparton,Females,629
2021,December,Greater Shepparton,Males,"2,325"
2021,December,Hepburn,Females,39
2021,December,Hepburn,Males,137
2021,December,Hindmarsh,Females,18
2021,December,Hindmarsh,Males,122
2021,December,Hobsons Bay,Females,402
2021,December,Hobsons Bay,Males,"1,356"
2021,December,Horsham,Females,199
2021,December,Horsham,Males,671
2021,December,Hume,Females,"1,086"
2021,December,Hume,Males,"4,574"
2021,December,Indigo,Females,31
2021,December,Indigo,Males,138
2021,December,Kingston,Females,640
2021,December,Kingston,Males,"2,182"
2021,December,Knox,Females,729
2021,December,Knox,Males,"2,552"
2021,December,Latrobe,Females,"1,159"
2021,December,Latrobe,Males,"3,412"
2021,December,Loddon,Females,56
2021,December,Loddon,Males,136
2021,December,Macedon Ranges,Females,160
2021,December,Macedon Ranges,Males,687
2021,December,Manningham,Females,257
2021,December,Manningham,Males,933
2021,December,Mansfield,Females,37
2021,December,Mansfield,Males,170
2021,December,Maribyrnong,Females,424
2021,December,Maribyrnong,Males,"1,778"
2021,December,Maroondah,Females,577
2021,December,Maroondah,Males,"1,956"
2021,December,Melbourne,Females,"2,448"
2021,December,Melbourne,Males,"8,479"
2021,December,Melton,Females,660
2021,December,Melton,Males,"2,733"
2021,December,Merri-bek,Females,556
2021,December,Merri-bek,Males,"2,465"
2021,December,Mildura,Females,621
2021,December,Mildura,Males,"1,904"
2021,December,Mitchell,Females,263
2021,December,Mitchell,Males,"1,146"
2021,December,Moira,Females,174
2021,December,Moira,Males,723
2021,December,Monash,Females,672
2021,December,Monash,Males,"2,492"
2021,December,Moonee Valley,Females,478
2021,December,Moonee Valley,Males,"1,788"
2021,December,Moorabool,Females,152
2021,December,Moorabool,Males,600
2021,December,Mornington Peninsula,Females,696
2021,December,Mornington Peninsula,Males,"2,666"
2021,December,Mount Alexander,Females,77
2021,December,Mount Alexander,Males,308
2021,December,Moyne,Females,45
2021,December,Moyne,Males,242
2021,December,Murrindindi,Females,39
2021,December,Murrindindi,Males,249
2021,December,Nillumbik,Females,128
2021,December,Nillumbik,Males,523
2021,December,Northern Grampians,Females,95
2021,December,Northern Grampians,Males,414
2021,December,Port Phillip,Females,681
2021,December,Port Phillip,Males,"2,452"
2021,December,Pyrenees,Females,25
2021,December,Pyrenees,Males,116
2021,December,Queenscliffe,Females,4
