Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2020,December,Baw Baw,40 - 44 years,207
2020,December,Baw Baw,45+ years,339
2020,December,Bayside,10 - 17 years,161
2020,December,Bayside,18 - 24 years,271
2020,December,Bayside,25 - 29 years,215
2020,December,Bayside,30 - 34 years,210
2020,December,Bayside,35 - 39 years,167
2020,December,Bayside,40 - 44 years,152
2020,December,Bayside,45+ years,414
2020,December,Benalla,10 - 17 years,38
2020,December,Benalla,18 - 24 years,115
2020,December,Benalla,25 - 29 years,72
2020,December,Benalla,30 - 34 years,64
2020,December,Benalla,35 - 39 years,59
2020,December,Benalla,40 - 44 years,41
2020,December,Benalla,45+ years,96
2020,December,Boroondara,10 - 17 years,282
2020,December,Boroondara,18 - 24 years,429
2020,December,Boroondara,25 - 29 years,303
2020,December,Boroondara,30 - 34 years,334
2020,December,Boroondara,35 - 39 years,238
2020,December,Boroondara,40 - 44 years,213
2020,December,Boroondara,45+ years,359
2020,December,Brimbank,10 - 17 years,845
2020,December,Brimbank,18 - 24 years,"1,347"
2020,December,Brimbank,25 - 29 years,"1,114"
2020,December,Brimbank,30 - 34 years,"1,151"
2020,December,Brimbank,35 - 39 years,"1,062"
2020,December,Brimbank,40 - 44 years,782
2020,December,Brimbank,45+ years,"1,271"
2020,December,Buloke,10 - 17 years,10
2020,December,Buloke,18 - 24 years,48
2020,December,Buloke,25 - 29 years,38
2020,December,Buloke,30 - 34 years,24
2020,December,Buloke,35 - 39 years,8
2020,December,Buloke,40 - 44 years,5
2020,December,Buloke,45+ years,27
2020,December,Campaspe,10 - 17 years,127
2020,December,Campaspe,18 - 24 years,266
2020,December,Campaspe,25 - 29 years,275
2020,December,Campaspe,30 - 34 years,194
2020,December,Campaspe,35 - 39 years,177
2020,December,Campaspe,40 - 44 years,102
2020,December,Campaspe,45+ years,195
2020,December,Cardinia,10 - 17 years,428
2020,December,Cardinia,18 - 24 years,726
2020,December,Cardinia,25 - 29 years,498
2020,December,Cardinia,30 - 34 years,476
2020,December,Cardinia,35 - 39 years,358
2020,December,Cardinia,40 - 44 years,241
2020,December,Cardinia,45+ years,388
2020,December,Casey,10 - 17 years,"1,192"
2020,December,Casey,18 - 24 years,"2,298"
2020,December,Casey,25 - 29 years,"1,552"
2020,December,Casey,30 - 34 years,"1,187"
2020,December,Casey,35 - 39 years,936
2020,December,Casey,40 - 44 years,656
2020,December,Casey,45+ years,"1,079"
2020,December,Central Goldfields,10 - 17 years,41
2020,December,Central Goldfields,18 - 24 years,103
2020,December,Central Goldfields,25 - 29 years,59
2020,December,Central Goldfields,30 - 34 years,66
2020,December,Central Goldfields,35 - 39 years,66
2020,December,Central Goldfields,40 - 44 years,48
2020,December,Central Goldfields,45+ years,124
2020,December,Colac-Otway,10 - 17 years,56
2020,December,Colac-Otway,18 - 24 years,206
2020,December,Colac-Otway,25 - 29 years,137
2020,December,Colac-Otway,30 - 34 years,109
2020,December,Colac-Otway,35 - 39 years,67
2020,December,Colac-Otway,40 - 44 years,43
2020,December,Colac-Otway,45+ years,142
2020,December,Corangamite,10 - 17 years,9
2020,December,Corangamite,18 - 24 years,106
2020,December,Corangamite,25 - 29 years,62
2020,December,Corangamite,30 - 34 years,46
2020,December,Corangamite,35 - 39 years,37
2020,December,Corangamite,40 - 44 years,28
2020,December,Corangamite,45+ years,64
2020,December,Darebin,10 - 17 years,438
2020,December,Darebin,18 - 24 years,952
2020,December,Darebin,25 - 29 years,856
2020,December,Darebin,30 - 34 years,784
2020,December,Darebin,35 - 39 years,819
2020,December,Darebin,40 - 44 years,514
2020,December,Darebin,45+ years,913
2020,December,East Gippsland,10 - 17 years,361
2020,December,East Gippsland,18 - 24 years,421
2020,December,East Gippsland,25 - 29 years,273
2020,December,East Gippsland,30 - 34 years,304
2020,December,East Gippsland,35 - 39 years,230
2020,December,East Gippsland,40 - 44 years,220
2020,December,East Gippsland,45+ years,435
2020,December,Frankston,10 - 17 years,513
2020,December,Frankston,18 - 24 years,"1,279"
2020,December,Frankston,25 - 29 years,974
2020,December,Frankston,30 - 34 years,918
2020,December,Frankston,35 - 39 years,805
2020,December,Frankston,40 - 44 years,692
2020,December,Frankston,45+ years,"1,032"
2020,December,Gannawarra,10 - 17 years,30
2020,December,Gannawarra,18 - 24 years,55
2020,December,Gannawarra,25 - 29 years,57
2020,December,Gannawarra,30 - 34 years,60
2020,December,Gannawarra,35 - 39 years,53
2020,December,Gannawarra,40 - 44 years,64
2020,December,Gannawarra,45+ years,103
2020,December,Glen Eira,10 - 17 years,206
2020,December,Glen Eira,18 - 24 years,478
2020,December,Glen Eira,25 - 29 years,340
2020,December,Glen Eira,30 - 34 years,303
2020,December,Glen Eira,35 - 39 years,268
2020,December,Glen Eira,40 - 44 years,228
2020,December,Glen Eira,45+ years,500
2020,December,Glenelg,10 - 17 years,45
2020,December,Glenelg,18 - 24 years,126
2020,December,Glenelg,25 - 29 years,120
2020,December,Glenelg,30 - 34 years,75
2020,December,Glenelg,35 - 39 years,91
2020,December,Glenelg,40 - 44 years,67
2020,December,Glenelg,45+ years,123
2020,December,Golden Plains,10 - 17 years,30
2020,December,Golden Plains,18 - 24 years,46
2020,December,Golden Plains,25 - 29 years,21
2020,December,Golden Plains,30 - 34 years,27
2020,December,Golden Plains,35 - 39 years,16
2020,December,Golden Plains,40 - 44 years,11
2020,December,Golden Plains,45+ years,36
2020,December,Greater Bendigo,10 - 17 years,418
2020,December,Greater Bendigo,18 - 24 years,856
2020,December,Greater Bendigo,25 - 29 years,686
2020,December,Greater Bendigo,30 - 34 years,639
2020,December,Greater Bendigo,35 - 39 years,554
2020,December,Greater Bendigo,40 - 44 years,342
2020,December,Greater Bendigo,45+ years,570
2020,December,Greater Dandenong,10 - 17 years,633
2020,December,Greater Dandenong,18 - 24 years,"1,537"
2020,December,Greater Dandenong,25 - 29 years,"1,447"
2020,December,Greater Dandenong,30 - 34 years,"1,151"
2020,December,Greater Dandenong,35 - 39 years,"1,022"
2020,December,Greater Dandenong,40 - 44 years,757
2020,December,Greater Dandenong,45+ years,"1,165"
2020,December,Greater Geelong,10 - 17 years,819
2020,December,Greater Geelong,18 - 24 years,"1,779"
2020,December,Greater Geelong,25 - 29 years,"1,139"
2020,December,Greater Geelong,30 - 34 years,917
2020,December,Greater Geelong,35 - 39 years,970
2020,December,Greater Geelong,40 - 44 years,747
2020,December,Greater Geelong,45+ years,"1,296"
2020,December,Greater Shepparton,10 - 17 years,372
2020,December,Greater Shepparton,18 - 24 years,607
2020,December,Greater Shepparton,25 - 29 years,495
2020,December,Greater Shepparton,30 - 34 years,491
2020,December,Greater Shepparton,35 - 39 years,433
2020,December,Greater Shepparton,40 - 44 years,331
2020,December,Greater Shepparton,45+ years,488
2020,December,Hepburn,10 - 17 years,30
2020,December,Hepburn,18 - 24 years,61
2020,December,Hepburn,25 - 29 years,26
2020,December,Hepburn,30 - 34 years,33
2020,December,Hepburn,35 - 39 years,26
2020,December,Hepburn,40 - 44 years,20
2020,December,Hepburn,45+ years,81
2020,December,Hindmarsh,10 - 17 years,5
2020,December,Hindmarsh,18 - 24 years,15
2020,December,Hindmarsh,25 - 29 years,22
2020,December,Hindmarsh,30 - 34 years,13
2020,December,Hindmarsh,35 - 39 years,13
2020,December,Hindmarsh,40 - 44 years,20
2020,December,Hindmarsh,45+ years,63
2020,December,Hobsons Bay,10 - 17 years,157
2020,December,Hobsons Bay,18 - 24 years,472
2020,December,Hobsons Bay,25 - 29 years,317
2020,December,Hobsons Bay,30 - 34 years,316
2020,December,Hobsons Bay,35 - 39 years,266
2020,December,Hobsons Bay,40 - 44 years,261
2020,December,Hobsons Bay,45+ years,397
2020,December,Horsham,10 - 17 years,98
2020,December,Horsham,18 - 24 years,193
2020,December,Horsham,25 - 29 years,135
2020,December,Horsham,30 - 34 years,147
2020,December,Horsham,35 - 39 years,93
2020,December,Horsham,40 - 44 years,67
2020,December,Horsham,45+ years,157
2020,December,Hume,10 - 17 years,621
2020,December,Hume,18 - 24 years,"2,169"
2020,December,Hume,25 - 29 years,"1,304"
2020,December,Hume,30 - 34 years,"1,371"
2020,December,Hume,35 - 39 years,"1,111"
2020,December,Hume,40 - 44 years,840
2020,December,Hume,45+ years,"1,330"
2020,December,Indigo,10 - 17 years,33
2020,December,Indigo,18 - 24 years,43
2020,December,Indigo,25 - 29 years,15
2020,December,Indigo,30 - 34 years,23
2020,December,Indigo,35 - 39 years,32
2020,December,Indigo,40 - 44 years,17
2020,December,Indigo,45+ years,39
2020,December,Kingston,10 - 17 years,355
2020,December,Kingston,18 - 24 years,708
2020,December,Kingston,25 - 29 years,570
2020,December,Kingston,30 - 34 years,528
2020,December,Kingston,35 - 39 years,558
2020,December,Kingston,40 - 44 years,440
2020,December,Kingston,45+ years,854
2020,December,Knox,10 - 17 years,339
2020,December,Knox,18 - 24 years,805
2020,December,Knox,25 - 29 years,692
2020,December,Knox,30 - 34 years,547
2020,December,Knox,35 - 39 years,554
2020,December,Knox,40 - 44 years,367
2020,December,Knox,45+ years,632
2020,December,Latrobe,10 - 17 years,747
2020,December,Latrobe,18 - 24 years,"1,080"
2020,December,Latrobe,25 - 29 years,883
2020,December,Latrobe,30 - 34 years,836
2020,December,Latrobe,35 - 39 years,640
2020,December,Latrobe,40 - 44 years,483
2020,December,Latrobe,45+ years,711
2020,December,Loddon,10 - 17 years,8
2020,December,Loddon,18 - 24 years,39
2020,December,Loddon,25 - 29 years,23
2020,December,Loddon,30 - 34 years,24
2020,December,Loddon,35 - 39 years,23
2020,December,Loddon,40 - 44 years,28
2020,December,Loddon,45+ years,51
2020,December,Macedon Ranges,10 - 17 years,78
2020,December,Macedon Ranges,18 - 24 years,202
2020,December,Macedon Ranges,25 - 29 years,154
2020,December,Macedon Ranges,30 - 34 years,148
2020,December,Macedon Ranges,35 - 39 years,154
2020,December,Macedon Ranges,40 - 44 years,103
2020,December,Macedon Ranges,45+ years,220
2020,December,Manningham,10 - 17 years,165
2020,December,Manningham,18 - 24 years,308
2020,December,Manningham,25 - 29 years,226
2020,December,Manningham,30 - 34 years,179
2020,December,Manningham,35 - 39 years,167
2020,December,Manningham,40 - 44 years,120
2020,December,Manningham,45+ years,268
2020,December,Mansfield,10 - 17 years,25
2020,December,Mansfield,18 - 24 years,36
2020,December,Mansfield,25 - 29 years,24
2020,December,Mansfield,30 - 34 years,15
2020,December,Mansfield,35 - 39 years,15
2020,December,Mansfield,40 - 44 years,17
2020,December,Mansfield,45+ years,52
2020,December,Maribyrnong,10 - 17 years,343
2020,December,Maribyrnong,18 - 24 years,521
2020,December,Maribyrnong,25 - 29 years,425
2020,December,Maribyrnong,30 - 34 years,433
2020,December,Maribyrnong,35 - 39 years,420
2020,December,Maribyrnong,40 - 44 years,314
2020,December,Maribyrnong,45+ years,511
2020,December,Maroondah,10 - 17 years,284
2020,December,Maroondah,18 - 24 years,517
2020,December,Maroondah,25 - 29 years,456
2020,December,Maroondah,30 - 34 years,339
2020,December,Maroondah,35 - 39 years,351
2020,December,Maroondah,40 - 44 years,316
2020,December,Maroondah,45+ years,552
2020,December,Melbourne,10 - 17 years,858
2020,December,Melbourne,18 - 24 years,"3,233"
2020,December,Melbourne,25 - 29 years,"2,536"
2020,December,Melbourne,30 - 34 years,"2,222"
2020,December,Melbourne,35 - 39 years,"1,957"
2020,December,Melbourne,40 - 44 years,"1,466"
2020,December,Melbourne,45+ years,"2,038"
2020,December,Melton,10 - 17 years,493
2020,December,Melton,18 - 24 years,"1,100"
2020,December,Melton,25 - 29 years,770
2020,December,Melton,30 - 34 years,646
2020,December,Melton,35 - 39 years,571
2020,December,Melton,40 - 44 years,419
2020,December,Melton,45+ years,608
2020,December,Merri-bek,10 - 17 years,285
2020,December,Merri-bek,18 - 24 years,799
2020,December,Merri-bek,25 - 29 years,642
2020,December,Merri-bek,30 - 34 years,676
2020,December,Merri-bek,35 - 39 years,620
2020,December,Merri-bek,40 - 44 years,461
2020,December,Merri-bek,45+ years,833
2020,December,Mildura,10 - 17 years,277
2020,December,Mildura,18 - 24 years,608
2020,December,Mildura,25 - 29 years,503
2020,December,Mildura,30 - 34 years,349
2020,December,Mildura,35 - 39 years,318
2020,December,Mildura,40 - 44 years,259
2020,December,Mildura,45+ years,504
2020,December,Mitchell,10 - 17 years,141
2020,December,Mitchell,18 - 24 years,329
2020,December,Mitchell,25 - 29 years,281
2020,December,Mitchell,30 - 34 years,265
2020,December,Mitchell,35 - 39 years,309
2020,December,Mitchell,40 - 44 years,166
2020,December,Mitchell,45+ years,321
2020,December,Moira,10 - 17 years,82
2020,December,Moira,18 - 24 years,169
2020,December,Moira,25 - 29 years,121
2020,December,Moira,30 - 34 years,104
2020,December,Moira,35 - 39 years,119
2020,December,Moira,40 - 44 years,89
2020,December,Moira,45+ years,159
2020,December,Monash,10 - 17 years,354
2020,December,Monash,18 - 24 years,805
2020,December,Monash,25 - 29 years,644
2020,December,Monash,30 - 34 years,551
2020,December,Monash,35 - 39 years,539
2020,December,Monash,40 - 44 years,418
2020,December,Monash,45+ years,658
2020,December,Moonee Valley,10 - 17 years,332
2020,December,Moonee Valley,18 - 24 years,531
2020,December,Moonee Valley,25 - 29 years,423
2020,December,Moonee Valley,30 - 34 years,475
2020,December,Moonee Valley,35 - 39 years,363
2020,December,Moonee Valley,40 - 44 years,313
2020,December,Moonee Valley,45+ years,532
2020,December,Moorabool,10 - 17 years,53
2020,December,Moorabool,18 - 24 years,264
2020,December,Moorabool,25 - 29 years,145
2020,December,Moorabool,30 - 34 years,153
2020,December,Moorabool,35 - 39 years,134
2020,December,Moorabool,40 - 44 years,119
2020,December,Moorabool,45+ years,181
2020,December,Mornington Peninsula,10 - 17 years,306
2020,December,Mornington Peninsula,18 - 24 years,945
2020,December,Mornington Peninsula,25 - 29 years,703
2020,December,Mornington Peninsula,30 - 34 years,558
2020,December,Mornington Peninsula,35 - 39 years,498
2020,December,Mornington Peninsula,40 - 44 years,559
2020,December,Mornington Peninsula,45+ years,952
2020,December,Mount Alexander,10 - 17 years,17
2020,December,Mount Alexander,18 - 24 years,49
2020,December,Mount Alexander,25 - 29 years,46
2020,December,Mount Alexander,30 - 34 years,50
2020,December,Mount Alexander,35 - 39 years,44
2020,December,Mount Alexander,40 - 44 years,53
2020,December,Mount Alexander,45+ years,98
2020,December,Moyne,10 - 17 years,22
2020,December,Moyne,18 - 24 years,59
2020,December,Moyne,25 - 29 years,39
2020,December,Moyne,30 - 34 years,38
2020,December,Moyne,35 - 39 years,35
2020,December,Moyne,40 - 44 years,16
2020,December,Moyne,45+ years,57
2020,December,Murrindindi,10 - 17 years,10
2020,December,Murrindindi,18 - 24 years,64
2020,December,Murrindindi,25 - 29 years,43
2020,December,Murrindindi,30 - 34 years,38
2020,December,Murrindindi,35 - 39 years,57
2020,December,Murrindindi,40 - 44 years,27
2020,December,Murrindindi,45+ years,82
2020,December,Nillumbik,10 - 17 years,85
2020,December,Nillumbik,18 - 24 years,201
2020,December,Nillumbik,25 - 29 years,105
2020,December,Nillumbik,30 - 34 years,83
2020,December,Nillumbik,35 - 39 years,81
2020,December,Nillumbik,40 - 44 years,64
2020,December,Nillumbik,45+ years,173
2020,December,Northern Grampians,10 - 17 years,23
2020,December,Northern Grampians,18 - 24 years,133
2020,December,Northern Grampians,25 - 29 years,77
2020,December,Northern Grampians,30 - 34 years,64
2020,December,Northern Grampians,35 - 39 years,63
2020,December,Northern Grampians,40 - 44 years,39
2020,December,Northern Grampians,45+ years,95
2020,December,Port Phillip,10 - 17 years,129
2020,December,Port Phillip,18 - 24 years,663
2020,December,Port Phillip,25 - 29 years,624
2020,December,Port Phillip,30 - 34 years,699
2020,December,Port Phillip,35 - 39 years,690
2020,December,Port Phillip,40 - 44 years,540
2020,December,Port Phillip,45+ years,994
2020,December,Pyrenees,10 - 17 years,17
2020,December,Pyrenees,18 - 24 years,28
2020,December,Pyrenees,25 - 29 years,9
2020,December,Pyrenees,30 - 34 years,25
2020,December,Pyrenees,35 - 39 years,18
2020,December,Pyrenees,40 - 44 years,7
2020,December,Pyrenees,45+ years,49
2020,December,Queenscliffe,10 - 17 years,
2020,December,Queenscliffe,18 - 24 years,
2020,December,Queenscliffe,25 - 29 years,
2020,December,Queenscliffe,30 - 34 years,
2020,December,Queenscliffe,35 - 39 years,
2020,December,Queenscliffe,40 - 44 years,
2020,December,Queenscliffe,45+ years,
2020,December,South Gippsland,10 - 17 years,71
2020,December,South Gippsland,18 - 24 years,105
2020,December,South Gippsland,25 - 29 years,109
2020,December,South Gippsland,30 - 34 years,114
2020,December,South Gippsland,35 - 39 years,77
2020,December,South Gippsland,40 - 44 years,68
2020,December,South Gippsland,45+ years,140
2020,December,Southern Grampians,10 - 17 years,39
2020,December,Southern Grampians,18 - 24 years,121
2020,December,Southern Grampians,25 - 29 years,65
2020,December,Southern Grampians,30 - 34 years,58
2020,December,Southern Grampians,35 - 39 years,91
2020,December,Southern Grampians,40 - 44 years,52
2020,December,Southern Grampians,45+ years,91
2020,December,Stonnington,10 - 17 years,215
2020,December,Stonnington,18 - 24 years,688
2020,December,Stonnington,25 - 29 years,547
2020,December,Stonnington,30 - 34 years,667
2020,December,Stonnington,35 - 39 years,562
2020,December,Stonnington,40 - 44 years,466
2020,December,Stonnington,45+ years,777
2020,December,Strathbogie,10 - 17 years,11
2020,December,Strathbogie,18 - 24 years,45
2020,December,Strathbogie,25 - 29 years,24
2020,December,Strathbogie,30 - 34 years,28
2020,December,Strathbogie,35 - 39 years,20
2020,December,Strathbogie,40 - 44 years,30
2020,December,Strathbogie,45+ years,55
2020,December,Surf Coast,10 - 17 years,53
2020,December,Surf Coast,18 - 24 years,156
2020,December,Surf Coast,25 - 29 years,53
2020,December,Surf Coast,30 - 34 years,49
2020,December,Surf Coast,35 - 39 years,53
2020,December,Surf Coast,40 - 44 years,46
2020,December,Surf Coast,45+ years,95
2020,December,Swan Hill,10 - 17 years,90
2020,December,Swan Hill,18 - 24 years,213
2020,December,Swan Hill,25 - 29 years,178
2020,December,Swan Hill,30 - 34 years,168
2020,December,Swan Hill,35 - 39 years,144
2020,December,Swan Hill,40 - 44 years,102
2020,December,Swan Hill,45+ years,231
2020,December,Towong,10 - 17 years,8
2020,December,Towong,18 - 24 years,13
2020,December,Towong,25 - 29 years,10
2020,December,Towong,30 - 34 years,7
2020,December,Towong,35 - 39 years,5
2020,December,Towong,40 - 44 years,4
2020,December,Towong,45+ years,12
2020,December,Wangaratta,10 - 17 years,116
2020,December,Wangaratta,18 - 24 years,232
2020,December,Wangaratta,25 - 29 years,130
2020,December,Wangaratta,30 - 34 years,93
2020,December,Wangaratta,35 - 39 years,110
2020,December,Wangaratta,40 - 44 years,101
2020,December,Wangaratta,45+ years,199
2020,December,Warrnambool,10 - 17 years,131
2020,December,Warrnambool,18 - 24 years,267
2020,December,Warrnambool,25 - 29 years,204
2020,December,Warrnambool,30 - 34 years,220
2020,December,Warrnambool,35 - 39 years,167
2020,December,Warrnambool,40 - 44 years,92
2020,December,Warrnambool,45+ years,287
2020,December,Wellington,10 - 17 years,161
2020,December,Wellington,18 - 24 years,382
2020,December,Wellington,25 - 29 years,256
2020,December,Wellington,30 - 34 years,286
2020,December,Wellington,35 - 39 years,196
2020,December,Wellington,40 - 44 years,213
2020,December,Wellington,45+ years,405
2020,December,West Wimmera,10 - 17 years,2
2020,December,West Wimmera,18 - 24 years,12
2020,December,West Wimmera,25 - 29 years,6
2020,December,West Wimmera,30 - 34 years,4
2020,December,West Wimmera,35 - 39 years,8
2020,December,West Wimmera,40 - 44 years,8
2020,December,West Wimmera,45+ years,31
2020,December,Whitehorse,10 - 17 years,296
2020,December,Whitehorse,18 - 24 years,596
2020,December,Whitehorse,25 - 29 years,445
2020,December,Whitehorse,30 - 34 years,330
2020,December,Whitehorse,35 - 39 years,314
2020,December,Whitehorse,40 - 44 years,296
2020,December,Whitehorse,45+ years,503
2020,December,Whittlesea,10 - 17 years,467
2020,December,Whittlesea,18 - 24 years,"1,457"
2020,December,Whittlesea,25 - 29 years,"1,044"
2020,December,Whittlesea,30 - 34 years,877
2020,December,Whittlesea,35 - 39 years,861
2020,December,Whittlesea,40 - 44 years,581
2020,December,Whittlesea,45+ years,"1,106"
2020,December,Wodonga,10 - 17 years,222
2020,December,Wodonga,18 - 24 years,311
2020,December,Wodonga,25 - 29 years,205
2020,December,Wodonga,30 - 34 years,195
2020,December,Wodonga,35 - 39 years,200
2020,December,Wodonga,40 - 44 years,126
2020,December,Wodonga,45+ years,183
2020,December,Wyndham,10 - 17 years,847
2020,December,Wyndham,18 - 24 years,"1,629"
2020,December,Wyndham,25 - 29 years,"1,119"
2020,December,Wyndham,30 - 34 years,"1,053"
2020,December,Wyndham,35 - 39 years,810
2020,December,Wyndham,40 - 44 years,496
2020,December,Wyndham,45+ years,750
2020,December,Yarra,10 - 17 years,221
2020,December,Yarra,18 - 24 years,818
2020,December,Yarra,25 - 29 years,742
2020,December,Yarra,30 - 34 years,755
2020,December,Yarra,35 - 39 years,768
2020,December,Yarra,40 - 44 years,612
2020,December,Yarra,45+ years,942
2020,December,Yarra Ranges,10 - 17 years,355
2020,December,Yarra Ranges,18 - 24 years,641
2020,December,Yarra Ranges,25 - 29 years,559
2020,December,Yarra Ranges,30 - 34 years,406
2020,December,Yarra Ranges,35 - 39 years,364
2020,December,Yarra Ranges,40 - 44 years,339
2020,December,Yarra Ranges,45+ years,560
2020,December,Yarriambiack,10 - 17 years,16
2020,December,Yarriambiack,18 - 24 years,34
2020,December,Yarriambiack,25 - 29 years,37
2020,December,Yarriambiack,30 - 34 years,17
2020,December,Yarriambiack,35 - 39 years,17
2020,December,Yarriambiack,40 - 44 years,18
2020,December,Yarriambiack,45+ years,57
2019,December,Alpine,10 - 17 years,27
2019,December,Alpine,18 - 24 years,39
2019,December,Alpine,25 - 29 years,51
2019,December,Alpine,30 - 34 years,36
2019,December,Alpine,35 - 39 years,17
2019,December,Alpine,40 - 44 years,9
2019,December,Alpine,45+ years,68
2019,December,Ararat,10 - 17 years,22
2019,December,Ararat,18 - 24 years,118
2019,December,Ararat,25 - 29 years,68
2019,December,Ararat,30 - 34 years,37
2019,December,Ararat,35 - 39 years,60
2019,December,Ararat,40 - 44 years,29
2019,December,Ararat,45+ years,118
2019,December,Ballarat,10 - 17 years,529
2019,December,Ballarat,18 - 24 years,783
2019,December,Ballarat,25 - 29 years,455
2019,December,Ballarat,30 - 34 years,412
2019,December,Ballarat,35 - 39 years,298
2019,December,Ballarat,40 - 44 years,237
2019,December,Ballarat,45+ years,417
2019,December,Banyule,10 - 17 years,318
2019,December,Banyule,18 - 24 years,503
2019,December,Banyule,25 - 29 years,454
2019,December,Banyule,30 - 34 years,427
2019,December,Banyule,35 - 39 years,394
2019,December,Banyule,40 - 44 years,292
2019,December,Banyule,45+ years,528
2019,December,Bass Coast,10 - 17 years,81
2019,December,Bass Coast,18 - 24 years,142
2019,December,Bass Coast,25 - 29 years,100
2019,December,Bass Coast,30 - 34 years,106
2019,December,Bass Coast,35 - 39 years,103
2019,December,Bass Coast,40 - 44 years,95
2019,December,Bass Coast,45+ years,195
2019,December,Baw Baw,10 - 17 years,142
2019,December,Baw Baw,18 - 24 years,381
2019,December,Baw Baw,25 - 29 years,249
2019,December,Baw Baw,30 - 34 years,228
2019,December,Baw Baw,35 - 39 years,173
2019,December,Baw Baw,40 - 44 years,137
2019,December,Baw Baw,45+ years,286
2019,December,Bayside,10 - 17 years,116
2019,December,Bayside,18 - 24 years,171
2019,December,Bayside,25 - 29 years,153
2019,December,Bayside,30 - 34 years,147
2019,December,Bayside,35 - 39 years,106
2019,December,Bayside,40 - 44 years,144
2019,December,Bayside,45+ years,306
2019,December,Benalla,10 - 17 years,73
2019,December,Benalla,18 - 24 years,132
2019,December,Benalla,25 - 29 years,80
2019,December,Benalla,30 - 34 years,63
2019,December,Benalla,35 - 39 years,52
2019,December,Benalla,40 - 44 years,61
2019,December,Benalla,45+ years,91
2019,December,Boroondara,10 - 17 years,205
2019,December,Boroondara,18 - 24 years,304
2019,December,Boroondara,25 - 29 years,236
2019,December,Boroondara,30 - 34 years,187
2019,December,Boroondara,35 - 39 years,205
2019,December,Boroondara,40 - 44 years,157
2019,December,Boroondara,45+ years,314
2019,December,Brimbank,10 - 17 years,629
2019,December,Brimbank,18 - 24 years,999
2019,December,Brimbank,25 - 29 years,930
2019,December,Brimbank,30 - 34 years,882
2019,December,Brimbank,35 - 39 years,793
2019,December,Brimbank,40 - 44 years,653
2019,December,Brimbank,45+ years,"1,013"
2019,December,Buloke,10 - 17 years,2
2019,December,Buloke,18 - 24 years,17
2019,December,Buloke,25 - 29 years,19
2019,December,Buloke,30 - 34 years,15
2019,December,Buloke,35 - 39 years,4
2019,December,Buloke,40 - 44 years,7
2019,December,Buloke,45+ years,19
2019,December,Campaspe,10 - 17 years,84
2019,December,Campaspe,18 - 24 years,246
2019,December,Campaspe,25 - 29 years,292
2019,December,Campaspe,30 - 34 years,199
2019,December,Campaspe,35 - 39 years,176
2019,December,Campaspe,40 - 44 years,130
2019,December,Campaspe,45+ years,181
2019,December,Cardinia,10 - 17 years,341
2019,December,Cardinia,18 - 24 years,443
2019,December,Cardinia,25 - 29 years,412
2019,December,Cardinia,30 - 34 years,327
2019,December,Cardinia,35 - 39 years,218
2019,December,Cardinia,40 - 44 years,194
2019,December,Cardinia,45+ years,302
2019,December,Casey,10 - 17 years,881
2019,December,Casey,18 - 24 years,"1,599"
2019,December,Casey,25 - 29 years,"1,161"
2019,December,Casey,30 - 34 years,964
2019,December,Casey,35 - 39 years,779
2019,December,Casey,40 - 44 years,593
2019,December,Casey,45+ years,960
2019,December,Central Goldfields,10 - 17 years,57
2019,December,Central Goldfields,18 - 24 years,75
2019,December,Central Goldfields,25 - 29 years,56
2019,December,Central Goldfields,30 - 34 years,56
2019,December,Central Goldfields,35 - 39 years,62
2019,December,Central Goldfields,40 - 44 years,46
2019,December,Central Goldfields,45+ years,102
2019,December,Colac-Otway,10 - 17 years,47
2019,December,Colac-Otway,18 - 24 years,106
2019,December,Colac-Otway,25 - 29 years,91
2019,December,Colac-Otway,30 - 34 years,89
2019,December,Colac-Otway,35 - 39 years,81
2019,December,Colac-Otway,40 - 44 years,67
2019,December,Colac-Otway,45+ years,132
2019,December,Corangamite,10 - 17 years,26
2019,December,Corangamite,18 - 24 years,54
2019,December,Corangamite,25 - 29 years,30
2019,December,Corangamite,30 - 34 years,27
2019,December,Corangamite,35 - 39 years,23
2019,December,Corangamite,40 - 44 years,24
2019,December,Corangamite,45+ years,58
2019,December,Darebin,10 - 17 years,464
2019,December,Darebin,18 - 24 years,618
2019,December,Darebin,25 - 29 years,465
2019,December,Darebin,30 - 34 years,510
2019,December,Darebin,35 - 39 years,472
2019,December,Darebin,40 - 44 years,347
2019,December,Darebin,45+ years,665
2019,December,East Gippsland,10 - 17 years,231
2019,December,East Gippsland,18 - 24 years,323
2019,December,East Gippsland,25 - 29 years,253
2019,December,East Gippsland,30 - 34 years,224
2019,December,East Gippsland,35 - 39 years,202
2019,December,East Gippsland,40 - 44 years,234
2019,December,East Gippsland,45+ years,407
2019,December,Frankston,10 - 17 years,558
2019,December,Frankston,18 - 24 years,972
2019,December,Frankston,25 - 29 years,765
2019,December,Frankston,30 - 34 years,731
2019,December,Frankston,35 - 39 years,670
2019,December,Frankston,40 - 44 years,597
2019,December,Frankston,45+ years,779
2019,December,Gannawarra,10 - 17 years,39
2019,December,Gannawarra,18 - 24 years,57
2019,December,Gannawarra,25 - 29 years,55
2019,December,Gannawarra,30 - 34 years,43
2019,December,Gannawarra,35 - 39 years,49
2019,December,Gannawarra,40 - 44 years,48
2019,December,Gannawarra,45+ years,82
