Year,Year ending,Local Government Area,Harm Caused Flag,Age Group,Victim Reports
2022,December,Cardinia,Medium Harm,25 - 44,376
2022,December,Cardinia,Medium Harm,45+,194
2022,December,Casey,High Harm,00 - 24,582
2022,December,Casey,High Harm,25 - 44,701
2022,December,Casey,High Harm,45+,304
2022,December,Casey,Low Harm,00 - 24,599
2022,December,Casey,Low Harm,25 - 44,"2,249"
2022,December,Casey,Low Harm,45+,"1,582"
2022,December,Casey,Medium Harm,00 - 24,673
2022,December,Casey,Medium Harm,25 - 44,"1,302"
2022,December,Casey,Medium Harm,45+,715
2022,December,Central Goldfields,High Harm,00 - 24,31
2022,December,Central Goldfields,High Harm,25 - 44,43
2022,December,Central Goldfields,High Harm,45+,33
2022,December,Central Goldfields,Low Harm,00 - 24,18
2022,December,Central Goldfields,Low Harm,25 - 44,64
2022,December,Central Goldfields,Low Harm,45+,119
2022,December,Central Goldfields,Medium Harm,00 - 24,39
2022,December,Central Goldfields,Medium Harm,25 - 44,48
2022,December,Central Goldfields,Medium Harm,45+,50
2022,December,Colac-Otway,High Harm,00 - 24,32
2022,December,Colac-Otway,High Harm,25 - 44,47
2022,December,Colac-Otway,High Harm,45+,27
2022,December,Colac-Otway,Low Harm,00 - 24,34
2022,December,Colac-Otway,Low Harm,25 - 44,98
2022,December,Colac-Otway,Low Harm,45+,190
2022,December,Colac-Otway,Medium Harm,00 - 24,43
2022,December,Colac-Otway,Medium Harm,25 - 44,55
2022,December,Colac-Otway,Medium Harm,45+,41
2022,December,Corangamite,High Harm,00 - 24,16
2022,December,Corangamite,High Harm,25 - 44,23
2022,December,Corangamite,High Harm,45+,19
2022,December,Corangamite,Low Harm,00 - 24,16
2022,December,Corangamite,Low Harm,25 - 44,55
2022,December,Corangamite,Low Harm,45+,67
2022,December,Corangamite,Medium Harm,00 - 24,22
2022,December,Corangamite,Medium Harm,25 - 44,36
2022,December,Corangamite,Medium Harm,45+,26
2022,December,Darebin,High Harm,00 - 24,181
2022,December,Darebin,High Harm,25 - 44,312
2022,December,Darebin,High Harm,45+,166
2022,December,Darebin,Low Harm,00 - 24,374
2022,December,Darebin,Low Harm,25 - 44,"1,771"
2022,December,Darebin,Low Harm,45+,"1,344"
2022,December,Darebin,Medium Harm,00 - 24,214
2022,December,Darebin,Medium Harm,25 - 44,561
2022,December,Darebin,Medium Harm,45+,344
2022,December,East Gippsland,High Harm,00 - 24,132
2022,December,East Gippsland,High Harm,25 - 44,144
2022,December,East Gippsland,High Harm,45+,97
2022,December,East Gippsland,Low Harm,00 - 24,94
2022,December,East Gippsland,Low Harm,25 - 44,281
2022,December,East Gippsland,Low Harm,45+,428
2022,December,East Gippsland,Medium Harm,00 - 24,152
2022,December,East Gippsland,Medium Harm,25 - 44,198
2022,December,East Gippsland,Medium Harm,45+,184
2022,December,Frankston,High Harm,00 - 24,244
2022,December,Frankston,High Harm,25 - 44,356
2022,December,Frankston,High Harm,45+,192
2022,December,Frankston,Low Harm,00 - 24,307
2022,December,Frankston,Low Harm,25 - 44,"1,180"
2022,December,Frankston,Low Harm,45+,"1,079"
2022,December,Frankston,Medium Harm,00 - 24,271
2022,December,Frankston,Medium Harm,25 - 44,524
2022,December,Frankston,Medium Harm,45+,422
2022,December,Gannawarra,High Harm,00 - 24,19
2022,December,Gannawarra,High Harm,25 - 44,11
2022,December,Gannawarra,High Harm,45+,19
2022,December,Gannawarra,Low Harm,00 - 24,13
2022,December,Gannawarra,Low Harm,25 - 44,48
2022,December,Gannawarra,Low Harm,45+,74
2022,December,Gannawarra,Medium Harm,00 - 24,17
2022,December,Gannawarra,Medium Harm,25 - 44,31
2022,December,Gannawarra,Medium Harm,45+,27
2022,December,Glen Eira,High Harm,00 - 24,137
2022,December,Glen Eira,High Harm,25 - 44,157
2022,December,Glen Eira,High Harm,45+,116
2022,December,Glen Eira,Low Harm,00 - 24,284
2022,December,Glen Eira,Low Harm,25 - 44,"1,150"
2022,December,Glen Eira,Low Harm,45+,"1,136"
2022,December,Glen Eira,Medium Harm,00 - 24,214
2022,December,Glen Eira,Medium Harm,25 - 44,312
2022,December,Glen Eira,Medium Harm,45+,271
2022,December,Glenelg,High Harm,00 - 24,46
2022,December,Glenelg,High Harm,25 - 44,44
2022,December,Glenelg,High Harm,45+,23
2022,December,Glenelg,Low Harm,00 - 24,27
2022,December,Glenelg,Low Harm,25 - 44,84
2022,December,Glenelg,Low Harm,45+,173
2022,December,Glenelg,Medium Harm,00 - 24,54
2022,December,Glenelg,Medium Harm,25 - 44,67
2022,December,Glenelg,Medium Harm,45+,50
2022,December,Golden Plains,High Harm,00 - 24,16
2022,December,Golden Plains,High Harm,25 - 44,9
2022,December,Golden Plains,High Harm,45+,6
2022,December,Golden Plains,Low Harm,00 - 24,15
2022,December,Golden Plains,Low Harm,25 - 44,46
2022,December,Golden Plains,Low Harm,45+,73
2022,December,Golden Plains,Medium Harm,00 - 24,9
2022,December,Golden Plains,Medium Harm,25 - 44,34
2022,December,Golden Plains,Medium Harm,45+,31
2022,December,Greater Bendigo,High Harm,00 - 24,316
2022,December,Greater Bendigo,High Harm,25 - 44,299
2022,December,Greater Bendigo,High Harm,45+,165
2022,December,Greater Bendigo,Low Harm,00 - 24,334
2022,December,Greater Bendigo,Low Harm,25 - 44,999
2022,December,Greater Bendigo,Low Harm,45+,959
2022,December,Greater Bendigo,Medium Harm,00 - 24,257
2022,December,Greater Bendigo,Medium Harm,25 - 44,373
2022,December,Greater Bendigo,Medium Harm,45+,284
2022,December,Greater Dandenong,High Harm,00 - 24,303
2022,December,Greater Dandenong,High Harm,25 - 44,530
2022,December,Greater Dandenong,High Harm,45+,234
2022,December,Greater Dandenong,Low Harm,00 - 24,470
2022,December,Greater Dandenong,Low Harm,25 - 44,"1,877"
2022,December,Greater Dandenong,Low Harm,45+,"1,438"
2022,December,Greater Dandenong,Medium Harm,00 - 24,372
2022,December,Greater Dandenong,Medium Harm,25 - 44,882
2022,December,Greater Dandenong,Medium Harm,45+,603
2022,December,Greater Geelong,High Harm,00 - 24,475
2022,December,Greater Geelong,High Harm,25 - 44,558
2022,December,Greater Geelong,High Harm,45+,364
2022,December,Greater Geelong,Low Harm,00 - 24,610
2022,December,Greater Geelong,Low Harm,25 - 44,"2,177"
2022,December,Greater Geelong,Low Harm,45+,"2,094"
2022,December,Greater Geelong,Medium Harm,00 - 24,475
2022,December,Greater Geelong,Medium Harm,25 - 44,812
2022,December,Greater Geelong,Medium Harm,45+,549
2022,December,Greater Shepparton,High Harm,00 - 24,208
2022,December,Greater Shepparton,High Harm,25 - 44,276
2022,December,Greater Shepparton,High Harm,45+,148
2022,December,Greater Shepparton,Low Harm,00 - 24,181
2022,December,Greater Shepparton,Low Harm,25 - 44,573
2022,December,Greater Shepparton,Low Harm,45+,690
2022,December,Greater Shepparton,Medium Harm,00 - 24,131
2022,December,Greater Shepparton,Medium Harm,25 - 44,221
2022,December,Greater Shepparton,Medium Harm,45+,175
2022,December,Hepburn,High Harm,00 - 24,5
2022,December,Hepburn,High Harm,25 - 44,16
2022,December,Hepburn,High Harm,45+,18
2022,December,Hepburn,Low Harm,00 - 24,12
2022,December,Hepburn,Low Harm,25 - 44,44
2022,December,Hepburn,Low Harm,45+,136
2022,December,Hepburn,Medium Harm,00 - 24,6
2022,December,Hepburn,Medium Harm,25 - 44,21
2022,December,Hepburn,Medium Harm,45+,36
2022,December,Hindmarsh,High Harm,00 - 24,
2022,December,Hindmarsh,High Harm,25 - 44,
2022,December,Hindmarsh,High Harm,45+,
2022,December,Hindmarsh,Low Harm,00 - 24,4
2022,December,Hindmarsh,Low Harm,25 - 44,14
2022,December,Hindmarsh,Low Harm,45+,38
2022,December,Hindmarsh,Medium Harm,00 - 24,7
2022,December,Hindmarsh,Medium Harm,25 - 44,13
2022,December,Hindmarsh,Medium Harm,45+,11
2022,December,Hobsons Bay,High Harm,00 - 24,87
2022,December,Hobsons Bay,High Harm,25 - 44,153
2022,December,Hobsons Bay,High Harm,45+,84
2022,December,Hobsons Bay,Low Harm,00 - 24,199
2022,December,Hobsons Bay,Low Harm,25 - 44,865
2022,December,Hobsons Bay,Low Harm,45+,774
2022,December,Hobsons Bay,Medium Harm,00 - 24,90
2022,December,Hobsons Bay,Medium Harm,25 - 44,257
2022,December,Hobsons Bay,Medium Harm,45+,225
2022,December,Horsham,High Harm,00 - 24,65
2022,December,Horsham,High Harm,25 - 44,87
2022,December,Horsham,High Harm,45+,39
2022,December,Horsham,Low Harm,00 - 24,75
2022,December,Horsham,Low Harm,25 - 44,134
2022,December,Horsham,Low Harm,45+,186
2022,December,Horsham,Medium Harm,00 - 24,87
2022,December,Horsham,Medium Harm,25 - 44,84
2022,December,Horsham,Medium Harm,45+,60
2022,December,Hume,High Harm,00 - 24,388
2022,December,Hume,High Harm,25 - 44,470
2022,December,Hume,High Harm,45+,273
2022,December,Hume,Low Harm,00 - 24,550
2022,December,Hume,Low Harm,25 - 44,"1,933"
2022,December,Hume,Low Harm,45+,"1,428"
2022,December,Hume,Medium Harm,00 - 24,483
2022,December,Hume,Medium Harm,25 - 44,970
2022,December,Hume,Medium Harm,45+,585
2022,December,Indigo,High Harm,00 - 24,33
2022,December,Indigo,High Harm,25 - 44,13
2022,December,Indigo,High Harm,45+,18
2022,December,Indigo,Low Harm,00 - 24,13
2022,December,Indigo,Low Harm,25 - 44,47
2022,December,Indigo,Low Harm,45+,109
2022,December,Indigo,Medium Harm,00 - 24,9
2022,December,Indigo,Medium Harm,25 - 44,17
2022,December,Indigo,Medium Harm,45+,35
2022,December,Kingston,High Harm,00 - 24,231
2022,December,Kingston,High Harm,25 - 44,239
2022,December,Kingston,High Harm,45+,197
2022,December,Kingston,Low Harm,00 - 24,323
2022,December,Kingston,Low Harm,25 - 44,"1,138"
2022,December,Kingston,Low Harm,45+,"1,113"
2022,December,Kingston,Medium Harm,00 - 24,286
2022,December,Kingston,Medium Harm,25 - 44,414
2022,December,Kingston,Medium Harm,45+,366
2022,December,Knox,High Harm,00 - 24,166
2022,December,Knox,High Harm,25 - 44,218
2022,December,Knox,High Harm,45+,147
2022,December,Knox,Low Harm,00 - 24,193
2022,December,Knox,Low Harm,25 - 44,797
2022,December,Knox,Low Harm,45+,859
2022,December,Knox,Medium Harm,00 - 24,214
2022,December,Knox,Medium Harm,25 - 44,362
2022,December,Knox,Medium Harm,45+,310
2022,December,Latrobe,High Harm,00 - 24,356
2022,December,Latrobe,High Harm,25 - 44,376
2022,December,Latrobe,High Harm,45+,164
2022,December,Latrobe,Low Harm,00 - 24,239
2022,December,Latrobe,Low Harm,25 - 44,751
2022,December,Latrobe,Low Harm,45+,890
2022,December,Latrobe,Medium Harm,00 - 24,299
2022,December,Latrobe,Medium Harm,25 - 44,492
2022,December,Latrobe,Medium Harm,45+,289
2022,December,Loddon,High Harm,00 - 24,17
2022,December,Loddon,High Harm,25 - 44,5
2022,December,Loddon,High Harm,45+,6
2022,December,Loddon,Low Harm,00 - 24,8
2022,December,Loddon,Low Harm,25 - 44,29
2022,December,Loddon,Low Harm,45+,70
2022,December,Loddon,Medium Harm,00 - 24,17
2022,December,Loddon,Medium Harm,25 - 44,5
2022,December,Loddon,Medium Harm,45+,22
2022,December,Macedon Ranges,High Harm,00 - 24,68
2022,December,Macedon Ranges,High Harm,25 - 44,32
2022,December,Macedon Ranges,High Harm,45+,34
2022,December,Macedon Ranges,Low Harm,00 - 24,34
2022,December,Macedon Ranges,Low Harm,25 - 44,134
2022,December,Macedon Ranges,Low Harm,45+,252
2022,December,Macedon Ranges,Medium Harm,00 - 24,64
2022,December,Macedon Ranges,Medium Harm,25 - 44,80
2022,December,Macedon Ranges,Medium Harm,45+,82
2022,December,Manningham,High Harm,00 - 24,113
2022,December,Manningham,High Harm,25 - 44,103
2022,December,Manningham,High Harm,45+,96
2022,December,Manningham,Low Harm,00 - 24,96
2022,December,Manningham,Low Harm,25 - 44,435
2022,December,Manningham,Low Harm,45+,501
2022,December,Manningham,Medium Harm,00 - 24,132
2022,December,Manningham,Medium Harm,25 - 44,182
2022,December,Manningham,Medium Harm,45+,160
2022,December,Mansfield,High Harm,00 - 24,6
2022,December,Mansfield,High Harm,25 - 44,5
2022,December,Mansfield,High Harm,45+,6
2022,December,Mansfield,Low Harm,00 - 24,4
2022,December,Mansfield,Low Harm,25 - 44,20
2022,December,Mansfield,Low Harm,45+,52
2022,December,Mansfield,Medium Harm,00 - 24,4
2022,December,Mansfield,Medium Harm,25 - 44,16
2022,December,Mansfield,Medium Harm,45+,14
2022,December,Maribyrnong,High Harm,00 - 24,164
2022,December,Maribyrnong,High Harm,25 - 44,253
2022,December,Maribyrnong,High Harm,45+,124
2022,December,Maribyrnong,Low Harm,00 - 24,311
2022,December,Maribyrnong,Low Harm,25 - 44,"1,533"
2022,December,Maribyrnong,Low Harm,45+,931
2022,December,Maribyrnong,Medium Harm,00 - 24,152
2022,December,Maribyrnong,Medium Harm,25 - 44,438
2022,December,Maribyrnong,Medium Harm,45+,254
2022,December,Maroondah,High Harm,00 - 24,178
2022,December,Maroondah,High Harm,25 - 44,184
2022,December,Maroondah,High Harm,45+,75
2022,December,Maroondah,Low Harm,00 - 24,177
2022,December,Maroondah,Low Harm,25 - 44,548
2022,December,Maroondah,Low Harm,45+,543
2022,December,Maroondah,Medium Harm,00 - 24,193
2022,December,Maroondah,Medium Harm,25 - 44,286
2022,December,Maroondah,Medium Harm,45+,209
2022,December,Melbourne,High Harm,00 - 24,817
2022,December,Melbourne,High Harm,25 - 44,"1,061"
2022,December,Melbourne,High Harm,45+,351
2022,December,Melbourne,Low Harm,00 - 24,"1,833"
2022,December,Melbourne,Low Harm,25 - 44,"4,116"
2022,December,Melbourne,Low Harm,45+,"1,932"
2022,December,Melbourne,Medium Harm,00 - 24,787
2022,December,Melbourne,Medium Harm,25 - 44,"1,617"
2022,December,Melbourne,Medium Harm,45+,699
2022,December,Melton,High Harm,00 - 24,301
2022,December,Melton,High Harm,25 - 44,406
2022,December,Melton,High Harm,45+,170
2022,December,Melton,Low Harm,00 - 24,321
2022,December,Melton,Low Harm,25 - 44,"1,301"
2022,December,Melton,Low Harm,45+,823
2022,December,Melton,Medium Harm,00 - 24,322
2022,December,Melton,Medium Harm,25 - 44,682
2022,December,Melton,Medium Harm,45+,336
2022,December,Merri-bek,High Harm,00 - 24,178
2022,December,Merri-bek,High Harm,25 - 44,334
2022,December,Merri-bek,High Harm,45+,196
2022,December,Merri-bek,Low Harm,00 - 24,447
2022,December,Merri-bek,Low Harm,25 - 44,"2,063"
2022,December,Merri-bek,Low Harm,45+,"1,383"
2022,December,Merri-bek,Medium Harm,00 - 24,197
2022,December,Merri-bek,Medium Harm,25 - 44,665
2022,December,Merri-bek,Medium Harm,45+,440
2022,December,Mildura,High Harm,00 - 24,146
2022,December,Mildura,High Harm,25 - 44,231
2022,December,Mildura,High Harm,45+,135
2022,December,Mildura,Low Harm,00 - 24,196
2022,December,Mildura,Low Harm,25 - 44,641
2022,December,Mildura,Low Harm,45+,699
2022,December,Mildura,Medium Harm,00 - 24,194
2022,December,Mildura,Medium Harm,25 - 44,340
2022,December,Mildura,Medium Harm,45+,259
2022,December,Mitchell,High Harm,00 - 24,95
2022,December,Mitchell,High Harm,25 - 44,106
2022,December,Mitchell,High Harm,45+,55
2022,December,Mitchell,Low Harm,00 - 24,55
2022,December,Mitchell,Low Harm,25 - 44,185
2022,December,Mitchell,Low Harm,45+,297
2022,December,Mitchell,Medium Harm,00 - 24,102
2022,December,Mitchell,Medium Harm,25 - 44,201
2022,December,Mitchell,Medium Harm,45+,125
2022,December,Moira,High Harm,00 - 24,58
2022,December,Moira,High Harm,25 - 44,44
2022,December,Moira,High Harm,45+,41
2022,December,Moira,Low Harm,00 - 24,49
2022,December,Moira,Low Harm,25 - 44,142
2022,December,Moira,Low Harm,45+,239
2022,December,Moira,Medium Harm,00 - 24,44
2022,December,Moira,Medium Harm,25 - 44,89
2022,December,Moira,Medium Harm,45+,82
2022,December,Monash,High Harm,00 - 24,215
2022,December,Monash,High Harm,25 - 44,272
2022,December,Monash,High Harm,45+,149
2022,December,Monash,Low Harm,00 - 24,502
